Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
25.03.2015 17:00 - 25.03.2015 17:15,70182,73343
25.03.2015 17:15 - 25.03.2015 17:30,70479,73813
25.03.2015 17:30 - 25.03.2015 17:45,70648,74136
25.03.2015 17:45 - 25.03.2015 18:00,71080,74394
25.03.2015 18:00 - 25.03.2015 18:15,71633,75356
25.03.2015 18:15 - 25.03.2015 18:30,72211,76234
25.03.2015 18:30 - 25.03.2015 18:45,72859,77603
25.03.2015 18:45 - 25.03.2015 19:00,73951,78782
25.03.2015 19:00 - 25.03.2015 19:15,74516,79734
25.03.2015 19:15 - 25.03.2015 19:30,73915,79054
25.03.2015 19:30 - 25.03.2015 19:45,73380,78447
25.03.2015 19:45 - 25.03.2015 20:00,72633,77565
25.03.2015 20:00 - 25.03.2015 20:15,71269,74743
25.03.2015 20:15 - 25.03.2015 20:30,70117,73964
25.03.2015 20:30 - 25.03.2015 20:45,69185,73291
25.03.2015 20:45 - 25.03.2015 21:00,68163,71909
25.03.2015 21:00 - 25.03.2015 21:15,67335,70994
25.03.2015 21:15 - 25.03.2015 21:30,66592,70091
25.03.2015 21:30 - 25.03.2015 21:45,65502,69627
25.03.2015 21:45 - 25.03.2015 22:00,64431,68279
25.03.2015 22:00 - 25.03.2015 22:15,64392,68122
25.03.2015 22:15 - 25.03.2015 22:30,63390,67115
25.03.2015 22:30 - 25.03.2015 22:45,62099,65896
25.03.2015 22:45 - 25.03.2015 23:00,60779,64484
25.03.2015 23:00 - 25.03.2015 23:15,59301,62647
25.03.2015 23:15 - 25.03.2015 23:30,57987,61134
25.03.2015 23:30 - 25.03.2015 23:45,56938,60114
25.03.2015 23:45 - 26.03.2015 00:00,55919,58788
26.03.2015 00:00 - 26.03.2015 00:15,54765,58214
26.03.2015 00:15 - 26.03.2015 00:30,53968,57166
26.03.2015 00:30 - 26.03.2015 00:45,53427,56232
26.03.2015 00:45 - 26.03.2015 01:00,52763,55806
26.03.2015 01:00 - 26.03.2015 01:15,52236,55499
26.03.2015 01:15 - 26.03.2015 01:30,51757,54749
26.03.2015 01:30 - 26.03.2015 01:45,51500,54387
26.03.2015 01:45 - 26.03.2015 02:00,51227,54246
26.03.2015 02:00 - 26.03.2015 02:15,50889,53858
26.03.2015 02:15 - 26.03.2015 02:30,50750,53415
26.03.2015 02:30 - 26.03.2015 02:45,50737,53582
26.03.2015 02:45 - 26.03.2015 03:00,50837,53597
26.03.2015 03:00 - 26.03.2015 03:15,51142,53998
26.03.2015 03:15 - 26.03.2015 03:30,51218,54023
26.03.2015 03:30 - 26.03.2015 03:45,51382,54233
26.03.2015 03:45 - 26.03.2015 04:00,51679,54510
26.03.2015 04:00 - 26.03.2015 04:15,52219,55092
26.03.2015 04:15 - 26.03.2015 04:30,52675,55534
26.03.2015 04:30 - 26.03.2015 04:45,53235,56272
26.03.2015 04:45 - 26.03.2015 05:00,53865,57165
26.03.2015 05:00 - 26.03.2015 05:15,55274,58714
26.03.2015 05:15 - 26.03.2015 05:30,56046,59805
26.03.2015 05:30 - 26.03.2015 05:45,57353,61092
26.03.2015 05:45 - 26.03.2015 06:00,58802,62521
26.03.2015 06:00 - 26.03.2015 06:15,61767,65702
26.03.2015 06:15 - 26.03.2015 06:30,63894,68039
26.03.2015 06:30 - 26.03.2015 06:45,65580,69806
26.03.2015 06:45 - 26.03.2015 07:00,67306,71389
26.03.2015 07:00 - 26.03.2015 07:15,69291,73611
26.03.2015 07:15 - 26.03.2015 07:30,69803,74847
26.03.2015 07:30 - 26.03.2015 07:45,71702,75987
26.03.2015 07:45 - 26.03.2015 08:00,72438,76825
26.03.2015 08:00 - 26.03.2015 08:15,73352,78131
26.03.2015 08:15 - 26.03.2015 08:30,73822,78089
26.03.2015 08:30 - 26.03.2015 08:45,73954,78751
26.03.2015 08:45 - 26.03.2015 09:00,74019,78760
26.03.2015 09:00 - 26.03.2015 09:15,73737,79115
26.03.2015 09:15 - 26.03.2015 09:30,74149,79246
26.03.2015 09:30 - 26.03.2015 09:45,74519,79560
26.03.2015 09:45 - 26.03.2015 10:00,74840,79760
26.03.2015 10:00 - 26.03.2015 10:15,75008,79856
26.03.2015 10:15 - 26.03.2015 10:30,75359,80061
26.03.2015 10:30 - 26.03.2015 10:45,75654,80369
26.03.2015 10:45 - 26.03.2015 11:00,76192,80494
26.03.2015 11:00 - 26.03.2015 11:15,76442,80945
26.03.2015 11:15 - 26.03.2015 11:30,76906,81280
26.03.2015 11:30 - 26.03.2015 11:45,77112,81420
26.03.2015 11:45 - 26.03.2015 12:00,77049,80965
26.03.2015 12:00 - 26.03.2015 12:15,76311,80204
26.03.2015 12:15 - 26.03.2015 12:30,75674,80083
26.03.2015 12:30 - 26.03.2015 12:45,75841,80098
26.03.2015 12:45 - 26.03.2015 13:00,75810,80020
26.03.2015 13:00 - 26.03.2015 13:15,76060,79841
26.03.2015 13:15 - 26.03.2015 13:30,75470,79396
26.03.2015 13:30 - 26.03.2015 13:45,74976,79345
26.03.2015 13:45 - 26.03.2015 14:00,74614,78518
26.03.2015 14:00 - 26.03.2015 14:15,73976,78224
26.03.2015 14:15 - 26.03.2015 14:30,73971,78230
26.03.2015 14:30 - 26.03.2015 14:45,73578,77939
26.03.2015 14:45 - 26.03.2015 15:00,73244,77776
26.03.2015 15:00 - 26.03.2015 15:15,73201,77445
26.03.2015 15:15 - 26.03.2015 15:30,72891,77080
26.03.2015 15:30 - 26.03.2015 15:45,72377,76900
26.03.2015 15:45 - 26.03.2015 16:00,71861,76229
26.03.2015 16:00 - 26.03.2015 16:15,71512,75493
26.03.2015 16:15 - 26.03.2015 16:30,71163,75238
26.03.2015 16:30 - 26.03.2015 16:45,70846,75011
26.03.2015 16:45 - 26.03.2015 17:00,70730,75171
26.03.2015 17:00 - 26.03.2015 17:15,70528,75064
26.03.2015 17:15 - 26.03.2015 17:30,70872,75330
26.03.2015 17:30 - 26.03.2015 17:45,71058,75651
26.03.2015 17:45 - 26.03.2015 18:00,70824,76112
26.03.2015 18:00 - 26.03.2015 18:15,71621,76753
26.03.2015 18:15 - 26.03.2015 18:30,72157,77567
26.03.2015 18:30 - 26.03.2015 18:45,73090,78381
26.03.2015 18:45 - 26.03.2015 19:00,74201,79339
26.03.2015 19:00 - 26.03.2015 19:15,74937,80415
26.03.2015 19:15 - 26.03.2015 19:30,74564,80018
26.03.2015 19:30 - 26.03.2015 19:45,74178,79847
26.03.2015 19:45 - 26.03.2015 20:00,73435,79053
26.03.2015 20:00 - 26.03.2015 20:15,72208,77000
26.03.2015 20:15 - 26.03.2015 20:30,70805,75463
26.03.2015 20:30 - 26.03.2015 20:45,69744,74089
26.03.2015 20:45 - 26.03.2015 21:00,68486,72500
26.03.2015 21:00 - 26.03.2015 21:15,67600,71740
26.03.2015 21:15 - 26.03.2015 21:30,66763,70543
26.03.2015 21:30 - 26.03.2015 21:45,65745,69766
26.03.2015 21:45 - 26.03.2015 22:00,64741,68985
26.03.2015 22:00 - 26.03.2015 22:15,64652,69003
26.03.2015 22:15 - 26.03.2015 22:30,63701,67889
26.03.2015 22:30 - 26.03.2015 22:45,62357,66704
26.03.2015 22:45 - 26.03.2015 23:00,61036,65316
26.03.2015 23:00 - 26.03.2015 23:15,59805,63726
26.03.2015 23:15 - 26.03.2015 23:30,58367,62782
26.03.2015 23:30 - 26.03.2015 23:45,57324,61759
26.03.2015 23:45 - 27.03.2015 00:00,56217,60764
27.03.2015 00:00 - 27.03.2015 00:15,55049,60535
27.03.2015 00:15 - 27.03.2015 00:30,54400,59317
27.03.2015 00:30 - 27.03.2015 00:45,53740,58610
27.03.2015 00:45 - 27.03.2015 01:00,53124,57786
27.03.2015 01:00 - 27.03.2015 01:15,52597,57147
27.03.2015 01:15 - 27.03.2015 01:30,52143,56458
27.03.2015 01:30 - 27.03.2015 01:45,51993,56406
27.03.2015 01:45 - 27.03.2015 02:00,51326,56268
27.03.2015 02:00 - 27.03.2015 02:15,51082,55722
27.03.2015 02:15 - 27.03.2015 02:30,50824,55405
27.03.2015 02:30 - 27.03.2015 02:45,50845,55467
27.03.2015 02:45 - 27.03.2015 03:00,50950,55731
27.03.2015 03:00 - 27.03.2015 03:15,51220,55632
27.03.2015 03:15 - 27.03.2015 03:30,51252,55534
27.03.2015 03:30 - 27.03.2015 03:45,51453,55647
27.03.2015 03:45 - 27.03.2015 04:00,51766,56025
27.03.2015 04:00 - 27.03.2015 04:15,52354,56364
27.03.2015 04:15 - 27.03.2015 04:30,52789,56784
27.03.2015 04:30 - 27.03.2015 04:45,53270,57057
27.03.2015 04:45 - 27.03.2015 05:00,53888,57316
27.03.2015 05:00 - 27.03.2015 05:15,55414,58635
27.03.2015 05:15 - 27.03.2015 05:30,56106,59596
27.03.2015 05:30 - 27.03.2015 05:45,57430,60869
27.03.2015 05:45 - 27.03.2015 06:00,58877,62334
27.03.2015 06:00 - 27.03.2015 06:15,61754,64826
27.03.2015 06:15 - 27.03.2015 06:30,63773,66941
27.03.2015 06:30 - 27.03.2015 06:45,65452,68604
27.03.2015 06:45 - 27.03.2015 07:00,67192,70343
27.03.2015 07:00 - 27.03.2015 07:15,69306,72359
27.03.2015 07:15 - 27.03.2015 07:30,70603,73624
27.03.2015 07:30 - 27.03.2015 07:45,71557,74482
27.03.2015 07:45 - 27.03.2015 08:00,72332,75212
27.03.2015 08:00 - 27.03.2015 08:15,73301,76411
27.03.2015 08:15 - 27.03.2015 08:30,73985,76914
27.03.2015 08:30 - 27.03.2015 08:45,74347,77074
27.03.2015 08:45 - 27.03.2015 09:00,74539,77281
27.03.2015 09:00 - 27.03.2015 09:15,74627,77779
27.03.2015 09:15 - 27.03.2015 09:30,75111,78331
27.03.2015 09:30 - 27.03.2015 09:45,75307,79021
27.03.2015 09:45 - 27.03.2015 10:00,75436,79074
27.03.2015 10:00 - 27.03.2015 10:15,75796,79788
27.03.2015 10:15 - 27.03.2015 10:30,75989,80380
27.03.2015 10:30 - 27.03.2015 10:45,76204,80739
27.03.2015 10:45 - 27.03.2015 11:00,76708,81357
27.03.2015 11:00 - 27.03.2015 11:15,76865,81818
27.03.2015 11:15 - 27.03.2015 11:30,77259,82163
27.03.2015 11:30 - 27.03.2015 11:45,77276,82167
27.03.2015 11:45 - 27.03.2015 12:00,77041,81823
27.03.2015 12:00 - 27.03.2015 12:15,76431,80618
27.03.2015 12:15 - 27.03.2015 12:30,76045,80051
27.03.2015 12:30 - 27.03.2015 12:45,75981,79218
27.03.2015 12:45 - 27.03.2015 13:00,75745,78756
27.03.2015 13:00 - 27.03.2015 13:15,75617,78418
27.03.2015 13:15 - 27.03.2015 13:30,74991,78101
27.03.2015 13:30 - 27.03.2015 13:45,74622,77939
27.03.2015 13:45 - 27.03.2015 14:00,73910,77342
27.03.2015 14:00 - 27.03.2015 14:15,73491,76849
27.03.2015 14:15 - 27.03.2015 14:30,73469,76527
27.03.2015 14:30 - 27.03.2015 14:45,73189,76364
27.03.2015 14:45 - 27.03.2015 15:00,72568,75779
27.03.2015 15:00 - 27.03.2015 15:15,72279,75613
27.03.2015 15:15 - 27.03.2015 15:30,71575,75222
27.03.2015 15:30 - 27.03.2015 15:45,71217,74870
27.03.2015 15:45 - 27.03.2015 16:00,70714,73974
27.03.2015 16:00 - 27.03.2015 16:15,70316,73827
27.03.2015 16:15 - 27.03.2015 16:30,70012,73469
27.03.2015 16:30 - 27.03.2015 16:45,69952,73470
27.03.2015 16:45 - 27.03.2015 17:00,69552,73373
27.03.2015 17:00 - 27.03.2015 17:15,69697,73726
27.03.2015 17:15 - 27.03.2015 17:30,69993,74218
27.03.2015 17:30 - 27.03.2015 17:45,70349,74582
27.03.2015 17:45 - 27.03.2015 18:00,67582,74551
27.03.2015 18:00 - 27.03.2015 18:15,70871,74999
27.03.2015 18:15 - 27.03.2015 18:30,71360,75354
27.03.2015 18:30 - 27.03.2015 18:45,72214,76044
27.03.2015 18:45 - 27.03.2015 19:00,73256,76935
27.03.2015 19:00 - 27.03.2015 19:15,73771,77545
27.03.2015 19:15 - 27.03.2015 19:30,73261,77615
27.03.2015 19:30 - 27.03.2015 19:45,72648,76956
27.03.2015 19:45 - 27.03.2015 20:00,71971,76290
27.03.2015 20:00 - 27.03.2015 20:15,70366,74811
27.03.2015 20:15 - 27.03.2015 20:30,68806,73119
27.03.2015 20:30 - 27.03.2015 20:45,67703,71922
27.03.2015 20:45 - 27.03.2015 21:00,66681,70620
27.03.2015 21:00 - 27.03.2015 21:15,65811,69507
27.03.2015 21:15 - 27.03.2015 21:30,65314,68632
27.03.2015 21:30 - 27.03.2015 21:45,64317,67541
27.03.2015 21:45 - 27.03.2015 22:00,63415,66279
27.03.2015 22:00 - 27.03.2015 22:15,63322,66430
27.03.2015 22:15 - 27.03.2015 22:30,62457,65609
27.03.2015 22:30 - 27.03.2015 22:45,61452,64538
27.03.2015 22:45 - 27.03.2015 23:00,60455,63121
27.03.2015 23:00 - 27.03.2015 23:15,59269,61765
27.03.2015 23:15 - 27.03.2015 23:30,58064,60237
27.03.2015 23:30 - 27.03.2015 23:45,57088,59305
27.03.2015 23:45 - 28.03.2015 00:00,56071,58087
28.03.2015 00:00 - 28.03.2015 00:15,54817,57669
28.03.2015 00:15 - 28.03.2015 00:30,53922,56659
28.03.2015 00:30 - 28.03.2015 00:45,53260,55869
28.03.2015 00:45 - 28.03.2015 01:00,52397,55199
28.03.2015 01:00 - 28.03.2015 01:15,51913,54497
28.03.2015 01:15 - 28.03.2015 01:30,51295,53927
28.03.2015 01:30 - 28.03.2015 01:45,50932,53329
28.03.2015 01:45 - 28.03.2015 02:00,50402,52877
28.03.2015 02:00 - 28.03.2015 02:15,50045,52756
28.03.2015 02:15 - 28.03.2015 02:30,49816,52456
28.03.2015 02:30 - 28.03.2015 02:45,49736,52317
28.03.2015 02:45 - 28.03.2015 03:00,49658,52163
28.03.2015 03:00 - 28.03.2015 03:15,49645,52288
28.03.2015 03:15 - 28.03.2015 03:30,49492,52412
28.03.2015 03:30 - 28.03.2015 03:45,49545,52185
28.03.2015 03:45 - 28.03.2015 04:00,49635,52057
28.03.2015 04:00 - 28.03.2015 04:15,49969,52488
28.03.2015 04:15 - 28.03.2015 04:30,50024,52519
28.03.2015 04:30 - 28.03.2015 04:45,50208,52650
28.03.2015 04:45 - 28.03.2015 05:00,50391,52626
28.03.2015 05:00 - 28.03.2015 05:15,50859,53271
28.03.2015 05:15 - 28.03.2015 05:30,50975,53562
28.03.2015 05:30 - 28.03.2015 05:45,51175,53277
28.03.2015 05:45 - 28.03.2015 06:00,51241,53047
28.03.2015 06:00 - 28.03.2015 06:15,51878,52699
28.03.2015 06:15 - 28.03.2015 06:30,52072,52892
28.03.2015 06:30 - 28.03.2015 06:45,52171,53353
28.03.2015 06:45 - 28.03.2015 07:00,52989,54577
28.03.2015 07:00 - 28.03.2015 07:15,53909,55900
28.03.2015 07:15 - 28.03.2015 07:30,54820,56875
28.03.2015 07:30 - 28.03.2015 07:45,55827,57932
28.03.2015 07:45 - 28.03.2015 08:00,56810,59086
28.03.2015 08:00 - 28.03.2015 08:15,58034,60719
28.03.2015 08:15 - 28.03.2015 08:30,58987,61364
28.03.2015 08:30 - 28.03.2015 08:45,60271,62741
28.03.2015 08:45 - 28.03.2015 09:00,60962,63620
28.03.2015 09:00 - 28.03.2015 09:15,62015,64701
28.03.2015 09:15 - 28.03.2015 09:30,63090,65492
28.03.2015 09:30 - 28.03.2015 09:45,63563,66239
28.03.2015 09:45 - 28.03.2015 10:00,63994,66746
28.03.2015 10:00 - 28.03.2015 10:15,64820,66908
28.03.2015 10:15 - 28.03.2015 10:30,64910,66949
28.03.2015 10:30 - 28.03.2015 10:45,65218,67566
28.03.2015 10:45 - 28.03.2015 11:00,65614,67448
28.03.2015 11:00 - 28.03.2015 11:15,65933,67553
28.03.2015 11:15 - 28.03.2015 11:30,66412,67831
28.03.2015 11:30 - 28.03.2015 11:45,66853,67995
28.03.2015 11:45 - 28.03.2015 12:00,66485,67533
28.03.2015 12:00 - 28.03.2015 12:15,66193,67177
28.03.2015 12:15 - 28.03.2015 12:30,65911,66981
28.03.2015 12:30 - 28.03.2015 12:45,65552,66735
28.03.2015 12:45 - 28.03.2015 13:00,65086,66184
28.03.2015 13:00 - 28.03.2015 13:15,64372,65781
28.03.2015 13:15 - 28.03.2015 13:30,63663,65450
28.03.2015 13:30 - 28.03.2015 13:45,63108,65400
28.03.2015 13:45 - 28.03.2015 14:00,62955,64598
28.03.2015 14:00 - 28.03.2015 14:15,62106,63803
28.03.2015 14:15 - 28.03.2015 14:30,61571,63681
28.03.2015 14:30 - 28.03.2015 14:45,61104,63319
28.03.2015 14:45 - 28.03.2015 15:00,60676,62818
28.03.2015 15:00 - 28.03.2015 15:15,60480,62949
28.03.2015 15:15 - 28.03.2015 15:30,60052,63032
28.03.2015 15:30 - 28.03.2015 15:45,59904,62963
28.03.2015 15:45 - 28.03.2015 16:00,59783,62730
28.03.2015 16:00 - 28.03.2015 16:15,59794,62436
28.03.2015 16:15 - 28.03.2015 16:30,59714,62409
28.03.2015 16:30 - 28.03.2015 16:45,59727,62587
28.03.2015 16:45 - 28.03.2015 17:00,60206,62677
28.03.2015 17:00 - 28.03.2015 17:15,60215,62714
28.03.2015 17:15 - 28.03.2015 17:30,60856,62944
28.03.2015 17:30 - 28.03.2015 17:45,61185,63549
28.03.2015 17:45 - 28.03.2015 18:00,61700,64401
28.03.2015 18:00 - 28.03.2015 18:15,62710,65371
28.03.2015 18:15 - 28.03.2015 18:30,63412,65972
28.03.2015 18:30 - 28.03.2015 18:45,64448,67022
28.03.2015 18:45 - 28.03.2015 19:00,65018,67990
28.03.2015 19:00 - 28.03.2015 19:15,65238,68681
28.03.2015 19:15 - 28.03.2015 19:30,65150,68530
28.03.2015 19:30 - 28.03.2015 19:45,64520,67994
28.03.2015 19:45 - 28.03.2015 20:00,63755,67192
28.03.2015 20:00 - 28.03.2015 20:15,62530,65434
28.03.2015 20:15 - 28.03.2015 20:30,61158,64053
28.03.2015 20:30 - 28.03.2015 20:45,60323,63203
28.03.2015 20:45 - 28.03.2015 21:00,59621,62373
28.03.2015 21:00 - 28.03.2015 21:15,58897,61482
28.03.2015 21:15 - 28.03.2015 21:30,58245,60870
28.03.2015 21:30 - 28.03.2015 21:45,57470,60121
28.03.2015 21:45 - 28.03.2015 22:00,57062,59493
28.03.2015 22:00 - 28.03.2015 22:15,57476,59944
28.03.2015 22:15 - 28.03.2015 22:30,56965,59031
28.03.2015 22:30 - 28.03.2015 22:45,56195,58097
28.03.2015 22:45 - 28.03.2015 23:00,55179,56969
28.03.2015 23:00 - 28.03.2015 23:15,54166,55893
28.03.2015 23:15 - 28.03.2015 23:30,53196,54407
28.03.2015 23:30 - 28.03.2015 23:45,52218,53502
28.03.2015 23:45 - 29.03.2015 00:00,51488,52406
29.03.2015 00:00 - 29.03.2015 00:15,51901,52092
29.03.2015 00:15 - 29.03.2015 00:30,50939,51323
29.03.2015 00:30 - 29.03.2015 00:45,50267,50426
29.03.2015 00:45 - 29.03.2015 01:00,49597,49937
29.03.2015 01:00 - 29.03.2015 01:15,48882,49480
29.03.2015 01:15 - 29.03.2015 01:30,48329,48801
29.03.2015 01:30 - 29.03.2015 01:45,47783,48182
29.03.2015 01:45 - 29.03.2015 02:00,46874,39461
29.03.2015 02:00 - 29.03.2015 02:15,,
29.03.2015 02:15 - 29.03.2015 02:30,,
29.03.2015 02:30 - 29.03.2015 02:45,,
29.03.2015 02:45 - 29.03.2015 03:00,,
29.03.2015 03:00 - 29.03.2015 03:15,46744,47901
29.03.2015 03:15 - 29.03.2015 03:30,46373,47625
29.03.2015 03:30 - 29.03.2015 03:45,46570,47620
29.03.2015 03:45 - 29.03.2015 04:00,46303,47261
29.03.2015 04:00 - 29.03.2015 04:15,46481,47418
29.03.2015 04:15 - 29.03.2015 04:30,46308,47430
29.03.2015 04:30 - 29.03.2015 04:45,46437,47523
29.03.2015 04:45 - 29.03.2015 05:00,47009,47500
29.03.2015 05:00 - 29.03.2015 05:15,46718,47661
29.03.2015 05:15 - 29.03.2015 05:30,46461,47579
29.03.2015 05:30 - 29.03.2015 05:45,46629,47670
29.03.2015 05:45 - 29.03.2015 06:00,46417,47599
29.03.2015 06:00 - 29.03.2015 06:15,45973,47093
29.03.2015 06:15 - 29.03.2015 06:30,45946,46980
29.03.2015 06:30 - 29.03.2015 06:45,46068,47517
29.03.2015 06:45 - 29.03.2015 07:00,46542,47729
29.03.2015 07:00 - 29.03.2015 07:15,46653,48019
29.03.2015 07:15 - 29.03.2015 07:30,46761,48060
29.03.2015 07:30 - 29.03.2015 07:45,47465,48554
29.03.2015 07:45 - 29.03.2015 08:00,48410,49118
29.03.2015 08:00 - 29.03.2015 08:15,49737,50036
29.03.2015 08:15 - 29.03.2015 08:30,51397,51080
29.03.2015 08:30 - 29.03.2015 08:45,51984,51924
29.03.2015 08:45 - 29.03.2015 09:00,52821,53155
29.03.2015 09:00 - 29.03.2015 09:15,53871,54505
29.03.2015 09:15 - 29.03.2015 09:30,54376,55308
29.03.2015 09:30 - 29.03.2015 09:45,55566,56185
29.03.2015 09:45 - 29.03.2015 10:00,55906,56669
29.03.2015 10:00 - 29.03.2015 10:15,56309,57568
29.03.2015 10:15 - 29.03.2015 10:30,57209,58237
29.03.2015 10:30 - 29.03.2015 10:45,57358,59078
29.03.2015 10:45 - 29.03.2015 11:00,58300,59820
29.03.2015 11:00 - 29.03.2015 11:15,59012,61085
29.03.2015 11:15 - 29.03.2015 11:30,59407,62306
29.03.2015 11:30 - 29.03.2015 11:45,60346,63070
29.03.2015 11:45 - 29.03.2015 12:00,60583,63144
29.03.2015 12:00 - 29.03.2015 12:15,60278,63118
29.03.2015 12:15 - 29.03.2015 12:30,59265,62967
29.03.2015 12:30 - 29.03.2015 12:45,59019,62233
29.03.2015 12:45 - 29.03.2015 13:00,58270,61977
29.03.2015 13:00 - 29.03.2015 13:15,57825,61630
29.03.2015 13:15 - 29.03.2015 13:30,56893,60908
29.03.2015 13:30 - 29.03.2015 13:45,57087,60424
29.03.2015 13:45 - 29.03.2015 14:00,56056,59441
29.03.2015 14:00 - 29.03.2015 14:15,56112,59582
29.03.2015 14:15 - 29.03.2015 14:30,55172,59359
29.03.2015 14:30 - 29.03.2015 14:45,54225,59284
29.03.2015 14:45 - 29.03.2015 15:00,54058,58562
29.03.2015 15:00 - 29.03.2015 15:15,53767,58844
29.03.2015 15:15 - 29.03.2015 15:30,53762,58608
29.03.2015 15:30 - 29.03.2015 15:45,53274,58306
29.03.2015 15:45 - 29.03.2015 16:00,52569,57816
29.03.2015 16:00 - 29.03.2015 16:15,52438,57848
29.03.2015 16:15 - 29.03.2015 16:30,52742,57691
29.03.2015 16:30 - 29.03.2015 16:45,52291,58066
29.03.2015 16:45 - 29.03.2015 17:00,52903,58157
29.03.2015 17:00 - 29.03.2015 17:15,53419,58691
29.03.2015 17:15 - 29.03.2015 17:30,53947,59035
29.03.2015 17:30 - 29.03.2015 17:45,54615,59206
29.03.2015 17:45 - 29.03.2015 18:00,55463,59647
29.03.2015 18:00 - 29.03.2015 18:15,56038,60421
29.03.2015 18:15 - 29.03.2015 18:30,56426,60643
29.03.2015 18:30 - 29.03.2015 18:45,57649,60799
29.03.2015 18:45 - 29.03.2015 19:00,53670,61325
29.03.2015 19:00 - 29.03.2015 19:15,59259,61998
29.03.2015 19:15 - 29.03.2015 19:30,59144,61680
29.03.2015 19:30 - 29.03.2015 19:45,59768,62403
29.03.2015 19:45 - 29.03.2015 20:00,59391,63159
29.03.2015 20:00 - 29.03.2015 20:15,59269,64356
29.03.2015 20:15 - 29.03.2015 20:30,59261,63501
29.03.2015 20:30 - 29.03.2015 20:45,58361,63162
29.03.2015 20:45 - 29.03.2015 21:00,57556,62057
29.03.2015 21:00 - 29.03.2015 21:15,57493,62243
29.03.2015 21:15 - 29.03.2015 21:30,57119,61624
29.03.2015 21:30 - 29.03.2015 21:45,56975,61268
29.03.2015 21:45 - 29.03.2015 22:00,57316,61222
29.03.2015 22:00 - 29.03.2015 22:15,57946,62345
29.03.2015 22:15 - 29.03.2015 22:30,57301,61737
29.03.2015 22:30 - 29.03.2015 22:45,56677,61072
29.03.2015 22:45 - 29.03.2015 23:00,55742,60230
29.03.2015 23:00 - 29.03.2015 23:15,55052,59429
29.03.2015 23:15 - 29.03.2015 23:30,54429,58329
29.03.2015 23:30 - 29.03.2015 23:45,53289,57580
29.03.2015 23:45 - 30.03.2015 00:00,52438,56342
30.03.2015 00:00 - 30.03.2015 00:15,51024,56329
30.03.2015 00:15 - 30.03.2015 00:30,50357,55512
30.03.2015 00:30 - 30.03.2015 00:45,49888,54744
30.03.2015 00:45 - 30.03.2015 01:00,49216,54041
30.03.2015 01:00 - 30.03.2015 01:15,48813,53642
30.03.2015 01:15 - 30.03.2015 01:30,48367,52925
30.03.2015 01:30 - 30.03.2015 01:45,48093,52809
30.03.2015 01:45 - 30.03.2015 02:00,47909,52240
30.03.2015 02:00 - 30.03.2015 02:15,47736,51924
30.03.2015 02:15 - 30.03.2015 02:30,47652,51601
30.03.2015 02:30 - 30.03.2015 02:45,47567,51807
30.03.2015 02:45 - 30.03.2015 03:00,47862,51939
30.03.2015 03:00 - 30.03.2015 03:15,48141,52375
30.03.2015 03:15 - 30.03.2015 03:30,48033,52306
30.03.2015 03:30 - 30.03.2015 03:45,48171,52729
30.03.2015 03:45 - 30.03.2015 04:00,48516,53008
30.03.2015 04:00 - 30.03.2015 04:15,49306,53520
30.03.2015 04:15 - 30.03.2015 04:30,49802,54050
30.03.2015 04:30 - 30.03.2015 04:45,50434,54308
30.03.2015 04:45 - 30.03.2015 05:00,51302,55243
30.03.2015 05:00 - 30.03.2015 05:15,52985,56595
30.03.2015 05:15 - 30.03.2015 05:30,53948,57621
30.03.2015 05:30 - 30.03.2015 05:45,55530,59212
30.03.2015 05:45 - 30.03.2015 06:00,57394,60964
30.03.2015 06:00 - 30.03.2015 06:15,60633,63940
30.03.2015 06:15 - 30.03.2015 06:30,63185,66512
30.03.2015 06:30 - 30.03.2015 06:45,65373,68604
30.03.2015 06:45 - 30.03.2015 07:00,66963,69964
30.03.2015 07:00 - 30.03.2015 07:15,69374,71955
30.03.2015 07:15 - 30.03.2015 07:30,70595,73365
30.03.2015 07:30 - 30.03.2015 07:45,71400,74286
30.03.2015 07:45 - 30.03.2015 08:00,72517,75386
30.03.2015 08:00 - 30.03.2015 08:15,73547,76871
30.03.2015 08:15 - 30.03.2015 08:30,74076,77884
30.03.2015 08:30 - 30.03.2015 08:45,74553,78276
30.03.2015 08:45 - 30.03.2015 09:00,74765,78846
30.03.2015 09:00 - 30.03.2015 09:15,74611,79024
30.03.2015 09:15 - 30.03.2015 09:30,75262,79539
30.03.2015 09:30 - 30.03.2015 09:45,75609,80053
30.03.2015 09:45 - 30.03.2015 10:00,75903,80478
30.03.2015 10:00 - 30.03.2015 10:15,76186,80696
30.03.2015 10:15 - 30.03.2015 10:30,76552,81158
30.03.2015 10:30 - 30.03.2015 10:45,76902,81272
30.03.2015 10:45 - 30.03.2015 11:00,77158,81357
30.03.2015 11:00 - 30.03.2015 11:15,77661,81696
30.03.2015 11:15 - 30.03.2015 11:30,78105,82543
30.03.2015 11:30 - 30.03.2015 11:45,78477,82858
30.03.2015 11:45 - 30.03.2015 12:00,78449,82645
30.03.2015 12:00 - 30.03.2015 12:15,77642,81699
30.03.2015 12:15 - 30.03.2015 12:30,77277,81032
30.03.2015 12:30 - 30.03.2015 12:45,77119,81176
30.03.2015 12:45 - 30.03.2015 13:00,76959,81001
30.03.2015 13:00 - 30.03.2015 13:15,77121,81229
