Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
02.01.2015 02:15 - 02.01.2015 02:30,44503,47492
02.01.2015 02:30 - 02.01.2015 02:45,44525,47359
02.01.2015 02:45 - 02.01.2015 03:00,44385,47215
02.01.2015 03:00 - 02.01.2015 03:15,44549,47117
02.01.2015 03:15 - 02.01.2015 03:30,44447,47082
02.01.2015 03:30 - 02.01.2015 03:45,44410,47135
02.01.2015 03:45 - 02.01.2015 04:00,44594,47100
02.01.2015 04:00 - 02.01.2015 04:15,45238,47624
02.01.2015 04:15 - 02.01.2015 04:30,45426,47714
02.01.2015 04:30 - 02.01.2015 04:45,45742,48034
02.01.2015 04:45 - 02.01.2015 05:00,46323,48306
02.01.2015 05:00 - 02.01.2015 05:15,47017,49181
02.01.2015 05:15 - 02.01.2015 05:30,47143,49372
02.01.2015 05:30 - 02.01.2015 05:45,47795,49640
02.01.2015 05:45 - 02.01.2015 06:00,48727,50275
02.01.2015 06:00 - 02.01.2015 06:15,49506,51109
02.01.2015 06:15 - 02.01.2015 06:30,50251,51863
02.01.2015 06:30 - 02.01.2015 06:45,51562,52887
02.01.2015 06:45 - 02.01.2015 07:00,52893,53971
02.01.2015 07:00 - 02.01.2015 07:15,55357,56149
02.01.2015 07:15 - 02.01.2015 07:30,57298,56898
02.01.2015 07:30 - 02.01.2015 07:45,58203,57737
02.01.2015 07:45 - 02.01.2015 08:00,59026,59192
02.01.2015 08:00 - 02.01.2015 08:15,59968,60813
02.01.2015 08:15 - 02.01.2015 08:30,60084,61763
02.01.2015 08:30 - 02.01.2015 08:45,60302,62247
02.01.2015 08:45 - 02.01.2015 09:00,60557,62852
02.01.2015 09:00 - 02.01.2015 09:15,60965,64203
02.01.2015 09:15 - 02.01.2015 09:30,61721,64833
02.01.2015 09:30 - 02.01.2015 09:45,62091,65490
02.01.2015 09:45 - 02.01.2015 10:00,62423,66111
02.01.2015 10:00 - 02.01.2015 10:15,62718,66903
02.01.2015 10:15 - 02.01.2015 10:30,62876,67254
02.01.2015 10:30 - 02.01.2015 10:45,63229,67626
02.01.2015 10:45 - 02.01.2015 11:00,63675,67741
02.01.2015 11:00 - 02.01.2015 11:15,63963,68282
02.01.2015 11:15 - 02.01.2015 11:30,64480,68617
02.01.2015 11:30 - 02.01.2015 11:45,64623,68931
02.01.2015 11:45 - 02.01.2015 12:00,64400,69263
02.01.2015 12:00 - 02.01.2015 12:15,64544,69146
02.01.2015 12:15 - 02.01.2015 12:30,64288,68846
02.01.2015 12:30 - 02.01.2015 12:45,64284,68750
02.01.2015 12:45 - 02.01.2015 13:00,63262,68350
02.01.2015 13:00 - 02.01.2015 13:15,61898,68124
02.01.2015 13:15 - 02.01.2015 13:30,61671,67855
02.01.2015 13:30 - 02.01.2015 13:45,62254,67443
02.01.2015 13:45 - 02.01.2015 14:00,62066,67064
02.01.2015 14:00 - 02.01.2015 14:15,60625,66823
02.01.2015 14:15 - 02.01.2015 14:30,61478,66609
02.01.2015 14:30 - 02.01.2015 14:45,62053,66392
02.01.2015 14:45 - 02.01.2015 15:00,61962,66086
02.01.2015 15:00 - 02.01.2015 15:15,61907,66068
02.01.2015 15:15 - 02.01.2015 15:30,61475,65955
02.01.2015 15:30 - 02.01.2015 15:45,61504,65808
02.01.2015 15:45 - 02.01.2015 16:00,61303,65981
02.01.2015 16:00 - 02.01.2015 16:15,61957,66568
02.01.2015 16:15 - 02.01.2015 16:30,62419,67712
02.01.2015 16:30 - 02.01.2015 16:45,63442,68099
02.01.2015 16:45 - 02.01.2015 17:00,64529,68632
02.01.2015 17:00 - 02.01.2015 17:15,65370,69581
02.01.2015 17:15 - 02.01.2015 17:30,66226,69867
02.01.2015 17:30 - 02.01.2015 17:45,66479,69993
02.01.2015 17:45 - 02.01.2015 18:00,66627,70061
02.01.2015 18:00 - 02.01.2015 18:15,66502,70650
02.01.2015 18:15 - 02.01.2015 18:30,66134,70230
02.01.2015 18:30 - 02.01.2015 18:45,66005,69991
02.01.2015 18:45 - 02.01.2015 19:00,65609,69675
02.01.2015 19:00 - 02.01.2015 19:15,65148,69194
02.01.2015 19:15 - 02.01.2015 19:30,64313,68405
02.01.2015 19:30 - 02.01.2015 19:45,63682,68058
02.01.2015 19:45 - 02.01.2015 20:00,62727,67426
02.01.2015 20:00 - 02.01.2015 20:15,61478,65517
02.01.2015 20:15 - 02.01.2015 20:30,60219,64127
02.01.2015 20:30 - 02.01.2015 20:45,58994,63326
02.01.2015 20:45 - 02.01.2015 21:00,58097,62386
02.01.2015 21:00 - 02.01.2015 21:15,57546,61833
02.01.2015 21:15 - 02.01.2015 21:30,55956,61508
02.01.2015 21:30 - 02.01.2015 21:45,53975,61164
02.01.2015 21:45 - 02.01.2015 22:00,53445,61134
02.01.2015 22:00 - 02.01.2015 22:15,54075,61630
02.01.2015 22:15 - 02.01.2015 22:30,54144,60962
02.01.2015 22:30 - 02.01.2015 22:45,53274,60197
02.01.2015 22:45 - 02.01.2015 23:00,52268,56196
02.01.2015 23:00 - 02.01.2015 23:15,51953,55148
02.01.2015 23:15 - 02.01.2015 23:30,51756,54062
02.01.2015 23:30 - 02.01.2015 23:45,52045,53405
02.01.2015 23:45 - 03.01.2015 00:00,50595,52463
03.01.2015 00:00 - 03.01.2015 00:15,49815,51882
03.01.2015 00:15 - 03.01.2015 00:30,48447,50935
03.01.2015 00:30 - 03.01.2015 00:45,49828,50635
03.01.2015 00:45 - 03.01.2015 01:00,49125,50058
03.01.2015 01:00 - 03.01.2015 01:15,48413,49501
