"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"24.03.2018 05:00 - 24.03.2018 05:15","55364","56708"
"24.03.2018 05:15 - 24.03.2018 05:30","55397","56719"
"24.03.2018 05:30 - 24.03.2018 05:45","55852","56873"
"24.03.2018 05:45 - 24.03.2018 06:00","56254","56570"
"24.03.2018 06:00 - 24.03.2018 06:15","56631","56634"
"24.03.2018 06:15 - 24.03.2018 06:30","57520","56452"
"24.03.2018 06:30 - 24.03.2018 06:45","58147","57106"
"24.03.2018 06:45 - 24.03.2018 07:00","58856","57724"
"24.03.2018 07:00 - 24.03.2018 07:15","59986","58925"
"24.03.2018 07:15 - 24.03.2018 07:30","60814","59910"
"24.03.2018 07:30 - 24.03.2018 07:45","61834","60888"
"24.03.2018 07:45 - 24.03.2018 08:00","62655","61774"
"24.03.2018 08:00 - 24.03.2018 08:15","63792","63097"
"24.03.2018 08:15 - 24.03.2018 08:30","64739","64040"
"24.03.2018 08:30 - 24.03.2018 08:45","65530","64853"
"24.03.2018 08:45 - 24.03.2018 09:00","66239","65626"
"24.03.2018 09:00 - 24.03.2018 09:15","66996","66228"
"24.03.2018 09:15 - 24.03.2018 09:30","67668","66651"
"24.03.2018 09:30 - 24.03.2018 09:45","68382","67136"
"24.03.2018 09:45 - 24.03.2018 10:00","68790","67627"
"24.03.2018 10:00 - 24.03.2018 10:15","69182","67934"
"24.03.2018 10:15 - 24.03.2018 10:30","69568","67815"
"24.03.2018 10:30 - 24.03.2018 10:45","69866","67950"
"24.03.2018 10:45 - 24.03.2018 11:00","69984","68270"
"24.03.2018 11:00 - 24.03.2018 11:15","70127","68639"
"24.03.2018 11:15 - 24.03.2018 11:30","70476","68855"
"24.03.2018 11:30 - 24.03.2018 11:45","70662","68861"
"24.03.2018 11:45 - 24.03.2018 12:00","70024","68711"
"24.03.2018 12:00 - 24.03.2018 12:15","69852","68229"
"24.03.2018 12:15 - 24.03.2018 12:30","69659","67524"
"24.03.2018 12:30 - 24.03.2018 12:45","69244","67170"
"24.03.2018 12:45 - 24.03.2018 13:00","68752","66456"
"24.03.2018 13:00 - 24.03.2018 13:15","68319","65638"
"24.03.2018 13:15 - 24.03.2018 13:30","67821","65071"
"24.03.2018 13:30 - 24.03.2018 13:45","67547","64587"
"24.03.2018 13:45 - 24.03.2018 14:00","66596","63845"
"24.03.2018 14:00 - 24.03.2018 14:15","66191","63320"
"24.03.2018 14:15 - 24.03.2018 14:30","65553","62687"
"24.03.2018 14:30 - 24.03.2018 14:45","65620","62630"
"24.03.2018 14:45 - 24.03.2018 15:00","65777","61947"
"24.03.2018 15:00 - 24.03.2018 15:15","65767","62147"
"24.03.2018 15:15 - 24.03.2018 15:30","65157","61600"
"24.03.2018 15:30 - 24.03.2018 15:45","65101","61275"
"24.03.2018 15:45 - 24.03.2018 16:00","64993","61283"
"24.03.2018 16:00 - 24.03.2018 16:15","65220","61081"
"24.03.2018 16:15 - 24.03.2018 16:30","65437","60864"
"24.03.2018 16:30 - 24.03.2018 16:45","65768","61031"
"24.03.2018 16:45 - 24.03.2018 17:00","65788","61157"
"24.03.2018 17:00 - 24.03.2018 17:15","66368","61752"
"24.03.2018 17:15 - 24.03.2018 17:30","66578","61900"
"24.03.2018 17:30 - 24.03.2018 17:45","67285","62687"
"24.03.2018 17:45 - 24.03.2018 18:00","67470","63401"
"24.03.2018 18:00 - 24.03.2018 18:15","68281","64435"
"24.03.2018 18:15 - 24.03.2018 18:30","68955","64907"
"24.03.2018 18:30 - 24.03.2018 18:45","69531","65854"
"24.03.2018 18:45 - 24.03.2018 19:00","70110","67094"
"24.03.2018 19:00 - 24.03.2018 19:15","70227","67996"
"24.03.2018 19:15 - 24.03.2018 19:30","69861","67894"
"24.03.2018 19:30 - 24.03.2018 19:45","69383","67625"
"24.03.2018 19:45 - 24.03.2018 20:00","68621","67050"
"24.03.2018 20:00 - 24.03.2018 20:15","67164","65868"
"24.03.2018 20:15 - 24.03.2018 20:30","65905","64612"
"24.03.2018 20:30 - 24.03.2018 20:45","64637","63414"
"24.03.2018 20:45 - 24.03.2018 21:00","63752","62557"
"24.03.2018 21:00 - 24.03.2018 21:15","62789","61839"
"24.03.2018 21:15 - 24.03.2018 21:30","62308","61193"
"24.03.2018 21:30 - 24.03.2018 21:45","62030","60824"
"24.03.2018 21:45 - 24.03.2018 22:00","61603","60234"
"24.03.2018 22:00 - 24.03.2018 22:15","62176","61277"
"24.03.2018 22:15 - 24.03.2018 22:30","61529","60783"
"24.03.2018 22:30 - 24.03.2018 22:45","60786","60049"
"24.03.2018 22:45 - 24.03.2018 23:00","59549","59451"
"24.03.2018 23:00 - 24.03.2018 23:15","58340","58255"
"24.03.2018 23:15 - 24.03.2018 23:30","57504","57504"
"24.03.2018 23:30 - 24.03.2018 23:45","56739","56600"
"24.03.2018 23:45 - 25.03.2018 00:00","56087","55876"
"25.03.2018 00:00 - 25.03.2018 00:15","56717","55128"
"25.03.2018 00:15 - 25.03.2018 00:30","55934","54061"
"25.03.2018 00:30 - 25.03.2018 00:45","55282","53589"
"25.03.2018 00:45 - 25.03.2018 01:00","54582","53007"
"25.03.2018 01:00 - 25.03.2018 01:15","54146","52576"
"25.03.2018 01:15 - 25.03.2018 01:30","53558","52203"
"25.03.2018 01:30 - 25.03.2018 01:45","53173","51387"
"25.03.2018 01:45 - 25.03.2018 02:00","52468","39751"
"25.03.2018 02:00 - 25.03.2018 02:15","",""
"25.03.2018 02:15 - 25.03.2018 02:30","",""
"25.03.2018 02:30 - 25.03.2018 02:45","",""
"25.03.2018 02:45 - 25.03.2018 03:00","",""
"25.03.2018 03:00 - 25.03.2018 03:15","51791","51032"
"25.03.2018 03:15 - 25.03.2018 03:30","51784","50921"
"25.03.2018 03:30 - 25.03.2018 03:45","51396","50999"
"25.03.2018 03:45 - 25.03.2018 04:00","51775","50898"
"25.03.2018 04:00 - 25.03.2018 04:15","51955","50699"
"25.03.2018 04:15 - 25.03.2018 04:30","51637","50679"
"25.03.2018 04:30 - 25.03.2018 04:45","51859","50867"
"25.03.2018 04:45 - 25.03.2018 05:00","51873","50906"
"25.03.2018 05:00 - 25.03.2018 05:15","52160","50840"
"25.03.2018 05:15 - 25.03.2018 05:30","52044","50544"
"25.03.2018 05:30 - 25.03.2018 05:45","51916","50682"
"25.03.2018 05:45 - 25.03.2018 06:00","52025","50585"
"25.03.2018 06:00 - 25.03.2018 06:15","51233","49845"
"25.03.2018 06:15 - 25.03.2018 06:30","51776","49843"
"25.03.2018 06:30 - 25.03.2018 06:45","52536","50205"
"25.03.2018 06:45 - 25.03.2018 07:00","53331","50241"
"25.03.2018 07:00 - 25.03.2018 07:15","53846","50685"
"25.03.2018 07:15 - 25.03.2018 07:30","54077","50595"
"25.03.2018 07:30 - 25.03.2018 07:45","54528","51014"
"25.03.2018 07:45 - 25.03.2018 08:00","55395","51782"
"25.03.2018 08:00 - 25.03.2018 08:15","56793","52776"
"25.03.2018 08:15 - 25.03.2018 08:30","57958","53731"
"25.03.2018 08:30 - 25.03.2018 08:45","58880","54482"
"25.03.2018 08:45 - 25.03.2018 09:00","59900","55389"
"25.03.2018 09:00 - 25.03.2018 09:15","61252","56432"
"25.03.2018 09:15 - 25.03.2018 09:30","61888","57206"
"25.03.2018 09:30 - 25.03.2018 09:45","62680","58090"
"25.03.2018 09:45 - 25.03.2018 10:00","63063","58738"
"25.03.2018 10:00 - 25.03.2018 10:15","63306","59336"
"25.03.2018 10:15 - 25.03.2018 10:30","63702","59726"
"25.03.2018 10:30 - 25.03.2018 10:45","64240","60224"
"25.03.2018 10:45 - 25.03.2018 11:00","64785","60803"
"25.03.2018 11:00 - 25.03.2018 11:15","64935","61362"
"25.03.2018 11:15 - 25.03.2018 11:30","65388","61932"
"25.03.2018 11:30 - 25.03.2018 11:45","65759","62097"
"25.03.2018 11:45 - 25.03.2018 12:00","64759","62055"
"25.03.2018 12:00 - 25.03.2018 12:15","65527","61641"
"25.03.2018 12:15 - 25.03.2018 12:30","65633","61401"
"25.03.2018 12:30 - 25.03.2018 12:45","65308","61084"
"25.03.2018 12:45 - 25.03.2018 13:00","64431","60549"
"25.03.2018 13:00 - 25.03.2018 13:15","63647","59859"
"25.03.2018 13:15 - 25.03.2018 13:30","63506","59372"
"25.03.2018 13:30 - 25.03.2018 13:45","62790","58719"
"25.03.2018 13:45 - 25.03.2018 14:00","61725","58013"
"25.03.2018 14:00 - 25.03.2018 14:15","61296","57615"
"25.03.2018 14:15 - 25.03.2018 14:30","60950","57035"
"25.03.2018 14:30 - 25.03.2018 14:45","60834","57158"
"25.03.2018 14:45 - 25.03.2018 15:00","61121","56944"
"25.03.2018 15:00 - 25.03.2018 15:15","60961","56877"
"25.03.2018 15:15 - 25.03.2018 15:30","60263","56338"
"25.03.2018 15:30 - 25.03.2018 15:45","60115","56078"
"25.03.2018 15:45 - 25.03.2018 16:00","59850","55905"
"25.03.2018 16:00 - 25.03.2018 16:15","60045","55681"
"25.03.2018 16:15 - 25.03.2018 16:30","59938","55547"
"25.03.2018 16:30 - 25.03.2018 16:45","60147","55214"
"25.03.2018 16:45 - 25.03.2018 17:00","59400","55194"
"25.03.2018 17:00 - 25.03.2018 17:15","60937","56242"
"25.03.2018 17:15 - 25.03.2018 17:30","61098","56631"
"25.03.2018 17:30 - 25.03.2018 17:45","61924","57225"
"25.03.2018 17:45 - 25.03.2018 18:00","62057","57554"
"25.03.2018 18:00 - 25.03.2018 18:15","62996","58556"
"25.03.2018 18:15 - 25.03.2018 18:30","63630","59433"
"25.03.2018 18:30 - 25.03.2018 18:45","64134","59947"
"25.03.2018 18:45 - 25.03.2018 19:00","64886","60313"
"25.03.2018 19:00 - 25.03.2018 19:15","64538","60992"
"25.03.2018 19:15 - 25.03.2018 19:30","65155","61714"
"25.03.2018 19:30 - 25.03.2018 19:45","65458","62354"
"25.03.2018 19:45 - 25.03.2018 20:00","64947","62883"
"25.03.2018 20:00 - 25.03.2018 20:15","65631","64033"
"25.03.2018 20:15 - 25.03.2018 20:30","65383","63947"
"25.03.2018 20:30 - 25.03.2018 20:45","64063","63261"
"25.03.2018 20:45 - 25.03.2018 21:00","63466","62339"
"25.03.2018 21:00 - 25.03.2018 21:15","62401","62187"
"25.03.2018 21:15 - 25.03.2018 21:30","61621","61832"
"25.03.2018 21:30 - 25.03.2018 21:45","61399","61636"
"25.03.2018 21:45 - 25.03.2018 22:00","61764","61548"
"25.03.2018 22:00 - 25.03.2018 22:15","62552","62556"
"25.03.2018 22:15 - 25.03.2018 22:30","62322","62323"
"25.03.2018 22:30 - 25.03.2018 22:45","61723","61549"
"25.03.2018 22:45 - 25.03.2018 23:00","60223","60690"
"25.03.2018 23:00 - 25.03.2018 23:15","59385","59709"
"25.03.2018 23:15 - 25.03.2018 23:30","58568","59025"
"25.03.2018 23:30 - 25.03.2018 23:45","57871","58136"
"25.03.2018 23:45 - 26.03.2018 00:00","56942","57257"
"26.03.2018 00:00 - 26.03.2018 00:15","55836","56075"
"26.03.2018 00:15 - 26.03.2018 00:30","55063","55201"
"26.03.2018 00:30 - 26.03.2018 00:45","54395","54555"
"26.03.2018 00:45 - 26.03.2018 01:00","53787","53708"
"26.03.2018 01:00 - 26.03.2018 01:15","53508","53517"
"26.03.2018 01:15 - 26.03.2018 01:30","53081","52923"
"26.03.2018 01:30 - 26.03.2018 01:45","52871","52740"
"26.03.2018 01:45 - 26.03.2018 02:00","52650","52327"
"26.03.2018 02:00 - 26.03.2018 02:15","52345","51909"
"26.03.2018 02:15 - 26.03.2018 02:30","52324","51794"
"26.03.2018 02:30 - 26.03.2018 02:45","52244","51928"
"26.03.2018 02:45 - 26.03.2018 03:00","52375","51960"
"26.03.2018 03:00 - 26.03.2018 03:15","52595","52110"
"26.03.2018 03:15 - 26.03.2018 03:30","52776","52191"
"26.03.2018 03:30 - 26.03.2018 03:45","53013","52565"
"26.03.2018 03:45 - 26.03.2018 04:00","53382","52914"
"26.03.2018 04:00 - 26.03.2018 04:15","54074","53450"
"26.03.2018 04:15 - 26.03.2018 04:30","54557","54073"
"26.03.2018 04:30 - 26.03.2018 04:45","55341","54989"
"26.03.2018 04:45 - 26.03.2018 05:00","56294","55676"
"26.03.2018 05:00 - 26.03.2018 05:15","57887","57591"
"26.03.2018 05:15 - 26.03.2018 05:30","59116","58652"
"26.03.2018 05:30 - 26.03.2018 05:45","60791","59843"
"26.03.2018 05:45 - 26.03.2018 06:00","62717","61398"
"26.03.2018 06:00 - 26.03.2018 06:15","65807","64607"
"26.03.2018 06:15 - 26.03.2018 06:30","68318","67010"
"26.03.2018 06:30 - 26.03.2018 06:45","69956","69078"
"26.03.2018 06:45 - 26.03.2018 07:00","71739","70876"
"26.03.2018 07:00 - 26.03.2018 07:15","73352","73050"
"26.03.2018 07:15 - 26.03.2018 07:30","74386","74275"
"26.03.2018 07:30 - 26.03.2018 07:45","75338","75425"
"26.03.2018 07:45 - 26.03.2018 08:00","75725","76315"
"26.03.2018 08:00 - 26.03.2018 08:15","76900","77675"
"26.03.2018 08:15 - 26.03.2018 08:30","77454","78112"
"26.03.2018 08:30 - 26.03.2018 08:45","77753","78646"
"26.03.2018 08:45 - 26.03.2018 09:00","77981","78913"
"26.03.2018 09:00 - 26.03.2018 09:15","77693","78834"
"26.03.2018 09:15 - 26.03.2018 09:30","78136","79583"
"26.03.2018 09:30 - 26.03.2018 09:45","78592","79962"
"26.03.2018 09:45 - 26.03.2018 10:00","78854","80372"
"26.03.2018 10:00 - 26.03.2018 10:15","78962","80448"
"26.03.2018 10:15 - 26.03.2018 10:30","79184","80745"
"26.03.2018 10:30 - 26.03.2018 10:45","79482","80698"
"26.03.2018 10:45 - 26.03.2018 11:00","79532","80680"
"26.03.2018 11:00 - 26.03.2018 11:15","79011","80818"
"26.03.2018 11:15 - 26.03.2018 11:30","78986","81373"
"26.03.2018 11:30 - 26.03.2018 11:45","79432","81544"
"26.03.2018 11:45 - 26.03.2018 12:00","78874","81273"
"26.03.2018 12:00 - 26.03.2018 12:15","78937","80740"
"26.03.2018 12:15 - 26.03.2018 12:30","78283","80546"
"26.03.2018 12:30 - 26.03.2018 12:45","78080","80703"
"26.03.2018 12:45 - 26.03.2018 13:00","78153","80569"
"26.03.2018 13:00 - 26.03.2018 13:15","78105","80123"
"26.03.2018 13:15 - 26.03.2018 13:30","77560","79832"
"26.03.2018 13:30 - 26.03.2018 13:45","76848","79296"
"26.03.2018 13:45 - 26.03.2018 14:00","76581","78433"
"26.03.2018 14:00 - 26.03.2018 14:15","76135","78394"
"26.03.2018 14:15 - 26.03.2018 14:30","76461","78492"
"26.03.2018 14:30 - 26.03.2018 14:45","76338","78271"
"26.03.2018 14:45 - 26.03.2018 15:00","76108","77926"
"26.03.2018 15:00 - 26.03.2018 15:15","75850","77704"
"26.03.2018 15:15 - 26.03.2018 15:30","75399","77502"
"26.03.2018 15:30 - 26.03.2018 15:45","74411","76903"
"26.03.2018 15:45 - 26.03.2018 16:00","75196","76383"
"26.03.2018 16:00 - 26.03.2018 16:15","75030","75906"
"26.03.2018 16:15 - 26.03.2018 16:30","74868","75508"
"26.03.2018 16:30 - 26.03.2018 16:45","74657","75231"
"26.03.2018 16:45 - 26.03.2018 17:00","75004","75083"
"26.03.2018 17:00 - 26.03.2018 17:15","75113","74953"
"26.03.2018 17:15 - 26.03.2018 17:30","74998","75067"
"26.03.2018 17:30 - 26.03.2018 17:45","75378","75326"
"26.03.2018 17:45 - 26.03.2018 18:00","75815","75513"
"26.03.2018 18:00 - 26.03.2018 18:15","75830","75270"
"26.03.2018 18:15 - 26.03.2018 18:30","75847","75293"
"26.03.2018 18:30 - 26.03.2018 18:45","76585","75652"
"26.03.2018 18:45 - 26.03.2018 19:00","77309","75672"
"26.03.2018 19:00 - 26.03.2018 19:15","76833","76014"
"26.03.2018 19:15 - 26.03.2018 19:30","75978","76004"
"26.03.2018 19:30 - 26.03.2018 19:45","75672","76319"
"26.03.2018 19:45 - 26.03.2018 20:00","74647","76812"
"26.03.2018 20:00 - 26.03.2018 20:15","73871","76697"
"26.03.2018 20:15 - 26.03.2018 20:30","73021","76083"
"26.03.2018 20:30 - 26.03.2018 20:45","72465","75070"
"26.03.2018 20:45 - 26.03.2018 21:00","70972","73811"
"26.03.2018 21:00 - 26.03.2018 21:15","70141","72923"
"26.03.2018 21:15 - 26.03.2018 21:30","69227","71836"
"26.03.2018 21:30 - 26.03.2018 21:45","68179","70766"
"26.03.2018 21:45 - 26.03.2018 22:00","67192","69603"
"26.03.2018 22:00 - 26.03.2018 22:15","67233","69493"
"26.03.2018 22:15 - 26.03.2018 22:30","66236","68753"
"26.03.2018 22:30 - 26.03.2018 22:45","65258","67553"
"26.03.2018 22:45 - 26.03.2018 23:00","64059","66613"
"26.03.2018 23:00 - 26.03.2018 23:15","63107","65371"
"26.03.2018 23:15 - 26.03.2018 23:30","62131","64131"
"26.03.2018 23:30 - 26.03.2018 23:45","61169","63062"
"26.03.2018 23:45 - 27.03.2018 00:00","60322","61919"
"27.03.2018 00:00 - 27.03.2018 00:15","60963","60468"
"27.03.2018 00:15 - 27.03.2018 00:30","60071","59292"
"27.03.2018 00:30 - 27.03.2018 00:45","59301","58790"
"27.03.2018 00:45 - 27.03.2018 01:00","58720","58121"
"27.03.2018 01:00 - 27.03.2018 01:15","58231","57352"
"27.03.2018 01:15 - 27.03.2018 01:30","57816","56975"
"27.03.2018 01:30 - 27.03.2018 01:45","57630","56694"
"27.03.2018 01:45 - 27.03.2018 02:00","57244","56555"
"27.03.2018 02:00 - 27.03.2018 02:15","56960","56194"
"27.03.2018 02:15 - 27.03.2018 02:30","56854","55909"
"27.03.2018 02:30 - 27.03.2018 02:45","56833","56065"
"27.03.2018 02:45 - 27.03.2018 03:00","56883","56123"
"27.03.2018 03:00 - 27.03.2018 03:15","57050","56338"
"27.03.2018 03:15 - 27.03.2018 03:30","57077","56271"
"27.03.2018 03:30 - 27.03.2018 03:45","57428","56763"
"27.03.2018 03:45 - 27.03.2018 04:00","57591","56858"
"27.03.2018 04:00 - 27.03.2018 04:15","58072","57384"
"27.03.2018 04:15 - 27.03.2018 04:30","58366","57767"
"27.03.2018 04:30 - 27.03.2018 04:45","59111","58425"
"27.03.2018 04:45 - 27.03.2018 05:00","59774","59348"
"27.03.2018 05:00 - 27.03.2018 05:15","60993","60526"
"27.03.2018 05:15 - 27.03.2018 05:30","62051","61373"
"27.03.2018 05:30 - 27.03.2018 05:45","63307","62804"
"27.03.2018 05:45 - 27.03.2018 06:00","64777","63857"
"27.03.2018 06:00 - 27.03.2018 06:15","67026","67014"
"27.03.2018 06:15 - 27.03.2018 06:30","69487","69154"
"27.03.2018 06:30 - 27.03.2018 06:45","71002","70863"
"27.03.2018 06:45 - 27.03.2018 07:00","72280","72380"
"27.03.2018 07:00 - 27.03.2018 07:15","73773","74128"
"27.03.2018 07:15 - 27.03.2018 07:30","74723","74998"
"27.03.2018 07:30 - 27.03.2018 07:45","75950","76279"
"27.03.2018 07:45 - 27.03.2018 08:00","76763","77255"
"27.03.2018 08:00 - 27.03.2018 08:15","77797","77965"
"27.03.2018 08:15 - 27.03.2018 08:30","78238","78672"
"27.03.2018 08:30 - 27.03.2018 08:45","78542","79093"
"27.03.2018 08:45 - 27.03.2018 09:00","78781","79097"
"27.03.2018 09:00 - 27.03.2018 09:15","78461","78608"
"27.03.2018 09:15 - 27.03.2018 09:30","79001","78852"
"27.03.2018 09:30 - 27.03.2018 09:45","79363","79733"
"27.03.2018 09:45 - 27.03.2018 10:00","79815","79904"
"27.03.2018 10:00 - 27.03.2018 10:15","79798","80020"
"27.03.2018 10:15 - 27.03.2018 10:30","79862","80107"
"27.03.2018 10:30 - 27.03.2018 10:45","80268","80072"
"27.03.2018 10:45 - 27.03.2018 11:00","80358","80340"
"27.03.2018 11:00 - 27.03.2018 11:15","80421","80547"
"27.03.2018 11:15 - 27.03.2018 11:30","80763","80944"
"27.03.2018 11:30 - 27.03.2018 11:45","80977","81019"
"27.03.2018 11:45 - 27.03.2018 12:00","80195","80707"
"27.03.2018 12:00 - 27.03.2018 12:15","80221","80242"
"27.03.2018 12:15 - 27.03.2018 12:30","79881","79862"
"27.03.2018 12:30 - 27.03.2018 12:45","79790","79781"
"27.03.2018 12:45 - 27.03.2018 13:00","79700","79791"
"27.03.2018 13:00 - 27.03.2018 13:15","79429","80159"
"27.03.2018 13:15 - 27.03.2018 13:30","79152","80012"
"27.03.2018 13:30 - 27.03.2018 13:45","78824","79374"
"27.03.2018 13:45 - 27.03.2018 14:00","78193","78502"
"27.03.2018 14:00 - 27.03.2018 14:15","78024","78273"
"27.03.2018 14:15 - 27.03.2018 14:30","77619","78068"
"27.03.2018 14:30 - 27.03.2018 14:45","77589","77708"
"27.03.2018 14:45 - 27.03.2018 15:00","77817","77201"
"27.03.2018 15:00 - 27.03.2018 15:15","78186","77286"
"27.03.2018 15:15 - 27.03.2018 15:30","77404","76957"
"27.03.2018 15:30 - 27.03.2018 15:45","77068","76158"
"27.03.2018 15:45 - 27.03.2018 16:00","76686","75833"
"27.03.2018 16:00 - 27.03.2018 16:15","76592","75704"
"27.03.2018 16:15 - 27.03.2018 16:30","76588","75264"
"27.03.2018 16:30 - 27.03.2018 16:45","76718","74878"
"27.03.2018 16:45 - 27.03.2018 17:00","75948","75014"
"27.03.2018 17:00 - 27.03.2018 17:15","76190","74718"
"27.03.2018 17:15 - 27.03.2018 17:30","76259","74663"
"27.03.2018 17:30 - 27.03.2018 17:45","76413","75126"
"27.03.2018 17:45 - 27.03.2018 18:00","76665","75235"
"27.03.2018 18:00 - 27.03.2018 18:15","76670","75317"
"27.03.2018 18:15 - 27.03.2018 18:30","77157","75314"
"27.03.2018 18:30 - 27.03.2018 18:45","77866","75477"
"27.03.2018 18:45 - 27.03.2018 19:00","78237","75956"
"27.03.2018 19:00 - 27.03.2018 19:15","78036","75934"
"27.03.2018 19:15 - 27.03.2018 19:30","77675","75765"
"27.03.2018 19:30 - 27.03.2018 19:45","77272","76337"
"27.03.2018 19:45 - 27.03.2018 20:00","76494","77250"
"27.03.2018 20:00 - 27.03.2018 20:15","75677","77198"
"27.03.2018 20:15 - 27.03.2018 20:30","74607","76807"
"27.03.2018 20:30 - 27.03.2018 20:45","73719","76023"
"27.03.2018 20:45 - 27.03.2018 21:00","72827","74844"
"27.03.2018 21:00 - 27.03.2018 21:15","71924","74000"
"27.03.2018 21:15 - 27.03.2018 21:30","71238","73183"
"27.03.2018 21:30 - 27.03.2018 21:45","70181","72049"
"27.03.2018 21:45 - 27.03.2018 22:00","69401","70950"
"27.03.2018 22:00 - 27.03.2018 22:15","69417","70901"
"27.03.2018 22:15 - 27.03.2018 22:30","68198","70237"
"27.03.2018 22:30 - 27.03.2018 22:45","67327","69195"
"27.03.2018 22:45 - 27.03.2018 23:00","65841","68124"
"27.03.2018 23:00 - 27.03.2018 23:15","64623","66662"
"27.03.2018 23:15 - 27.03.2018 23:30","63427","65299"
"27.03.2018 23:30 - 27.03.2018 23:45","62318","64180"
"27.03.2018 23:45 - 28.03.2018 00:00","61471","63549"
"28.03.2018 00:00 - 28.03.2018 00:15","59382","62248"
"28.03.2018 00:15 - 28.03.2018 00:30","58674","61631"
"28.03.2018 00:30 - 28.03.2018 00:45","57975","60578"
"28.03.2018 00:45 - 28.03.2018 01:00","57308","59878"
"28.03.2018 01:00 - 28.03.2018 01:15","56759","59072"
"28.03.2018 01:15 - 28.03.2018 01:30","56341","58764"
"28.03.2018 01:30 - 28.03.2018 01:45","55988","58277"
"28.03.2018 01:45 - 28.03.2018 02:00","55679","57876"
"28.03.2018 02:00 - 28.03.2018 02:15","55263","57516"
"28.03.2018 02:15 - 28.03.2018 02:30","55118","57105"
"28.03.2018 02:30 - 28.03.2018 02:45","55109","57521"
"28.03.2018 02:45 - 28.03.2018 03:00","55173","57500"
"28.03.2018 03:00 - 28.03.2018 03:15","55243","57592"
"28.03.2018 03:15 - 28.03.2018 03:30","55350","57634"
"28.03.2018 03:30 - 28.03.2018 03:45","55475","57357"
"28.03.2018 03:45 - 28.03.2018 04:00","55603","57914"
"28.03.2018 04:00 - 28.03.2018 04:15","56128","58400"
"28.03.2018 04:15 - 28.03.2018 04:30","56510","58731"
"28.03.2018 04:30 - 28.03.2018 04:45","57074","59427"
"28.03.2018 04:45 - 28.03.2018 05:00","57714","60002"
"28.03.2018 05:00 - 28.03.2018 05:15","59007","61597"
"28.03.2018 05:15 - 28.03.2018 05:30","59880","61995"
"28.03.2018 05:30 - 28.03.2018 05:45","61173","63323"
"28.03.2018 05:45 - 28.03.2018 06:00","62701","64806"
"28.03.2018 06:00 - 28.03.2018 06:15","65271","68153"
"28.03.2018 06:15 - 28.03.2018 06:30","67317","70244"
"28.03.2018 06:30 - 28.03.2018 06:45","69134","72197"
"28.03.2018 06:45 - 28.03.2018 07:00","70481","73705"
"28.03.2018 07:00 - 28.03.2018 07:15","72142","75691"
"28.03.2018 07:15 - 28.03.2018 07:30","73127","76932"
"28.03.2018 07:30 - 28.03.2018 07:45","74169","78177"
"28.03.2018 07:45 - 28.03.2018 08:00","75031","78881"
"28.03.2018 08:00 - 28.03.2018 08:15","75905","80150"
"28.03.2018 08:15 - 28.03.2018 08:30","76347","80783"
"28.03.2018 08:30 - 28.03.2018 08:45","76558","81160"
"28.03.2018 08:45 - 28.03.2018 09:00","76511","81447"
"28.03.2018 09:00 - 28.03.2018 09:15","76097","81425"
"28.03.2018 09:15 - 28.03.2018 09:30","76203","82039"
"28.03.2018 09:30 - 28.03.2018 09:45","76520","82478"
"28.03.2018 09:45 - 28.03.2018 10:00","76569","82742"
"28.03.2018 10:00 - 28.03.2018 10:15","76628","83244"
"28.03.2018 10:15 - 28.03.2018 10:30","76809","83591"
"28.03.2018 10:30 - 28.03.2018 10:45","77021","84066"
"28.03.2018 10:45 - 28.03.2018 11:00","77221","84317"
"28.03.2018 11:00 - 28.03.2018 11:15","77397","84617"
"28.03.2018 11:15 - 28.03.2018 11:30","77676","85015"
"28.03.2018 11:30 - 28.03.2018 11:45","80216","85084"
"28.03.2018 11:45 - 28.03.2018 12:00","79597","84887"
"28.03.2018 12:00 - 28.03.2018 12:15","79509","84011"
"28.03.2018 12:15 - 28.03.2018 12:30","79315","83968"
"28.03.2018 12:30 - 28.03.2018 12:45","79245","84142"
"28.03.2018 12:45 - 28.03.2018 13:00","79158","83974"
"28.03.2018 13:00 - 28.03.2018 13:15","78857","84171"
"28.03.2018 13:15 - 28.03.2018 13:30","78867","83827"
"28.03.2018 13:30 - 28.03.2018 13:45","78306","83493"
"28.03.2018 13:45 - 28.03.2018 14:00","77543","82992"
"28.03.2018 14:00 - 28.03.2018 14:15","77276","82325"
"28.03.2018 14:15 - 28.03.2018 14:30","76901","82069"
"28.03.2018 14:30 - 28.03.2018 14:45","76593","81793"
"28.03.2018 14:45 - 28.03.2018 15:00","76791","81722"
"28.03.2018 15:00 - 28.03.2018 15:15","76951","81670"
"28.03.2018 15:15 - 28.03.2018 15:30","76100","81301"
"28.03.2018 15:30 - 28.03.2018 15:45","75799","80847"
"28.03.2018 15:45 - 28.03.2018 16:00","75400","80268"
"28.03.2018 16:00 - 28.03.2018 16:15","75216","80054"
"28.03.2018 16:15 - 28.03.2018 16:30","75152","79738"
"28.03.2018 16:30 - 28.03.2018 16:45","75054","79260"
"28.03.2018 16:45 - 28.03.2018 17:00","74487","79010"
"28.03.2018 17:00 - 28.03.2018 17:15","74530","78982"
"28.03.2018 17:15 - 28.03.2018 17:30","74503","79151"
"28.03.2018 17:30 - 28.03.2018 17:45","74706","79436"
