"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2018 21:15 - 01.01.2018 21:30","56530","57217"
"01.01.2018 21:30 - 01.01.2018 21:45","57312","56847"
"01.01.2018 21:45 - 01.01.2018 22:00","55849","56735"
"01.01.2018 22:00 - 01.01.2018 22:15","56822","57328"
"01.01.2018 22:15 - 01.01.2018 22:30","56334","56829"
"01.01.2018 22:30 - 01.01.2018 22:45","55461","55767"
"01.01.2018 22:45 - 01.01.2018 23:00","54582","55174"
"01.01.2018 23:00 - 01.01.2018 23:15","53774","54328"
"01.01.2018 23:15 - 01.01.2018 23:30","53019","53341"
"01.01.2018 23:30 - 01.01.2018 23:45","52095","52309"
"01.01.2018 23:45 - 02.01.2018 00:00","51781","51182"
"02.01.2018 00:00 - 02.01.2018 00:15","51938","50805"
"02.01.2018 00:15 - 02.01.2018 00:30","51222","49692"
"02.01.2018 00:30 - 02.01.2018 00:45","50747","49161"
"02.01.2018 00:45 - 02.01.2018 01:00","50558","48479"
"02.01.2018 01:00 - 02.01.2018 01:15","50062","47931"
"02.01.2018 01:15 - 02.01.2018 01:30","49659","47306"
"02.01.2018 01:30 - 02.01.2018 01:45","49396","47067"
"02.01.2018 01:45 - 02.01.2018 02:00","49089","46912"
"02.01.2018 02:00 - 02.01.2018 02:15","48785","46724"
"02.01.2018 02:15 - 02.01.2018 02:30","48762","46774"
"02.01.2018 02:30 - 02.01.2018 02:45","48601","46710"
"02.01.2018 02:45 - 02.01.2018 03:00","48553","46658"
"02.01.2018 03:00 - 02.01.2018 03:15","48593","46989"
"02.01.2018 03:15 - 02.01.2018 03:30","48709","46959"
"02.01.2018 03:30 - 02.01.2018 03:45","48717","47182"
"02.01.2018 03:45 - 02.01.2018 04:00","48930","47408"
"02.01.2018 04:00 - 02.01.2018 04:15","49509","47932"
"02.01.2018 04:15 - 02.01.2018 04:30","49876","48166"
"02.01.2018 04:30 - 02.01.2018 04:45","50425","48909"
"02.01.2018 04:45 - 02.01.2018 05:00","51048","49585"
"02.01.2018 05:00 - 02.01.2018 05:15","52309","51119"
"02.01.2018 05:15 - 02.01.2018 05:30","53280","51948"
"02.01.2018 05:30 - 02.01.2018 05:45","54650","53285"
"02.01.2018 05:45 - 02.01.2018 06:00","56272","55005"
"02.01.2018 06:00 - 02.01.2018 06:15","59310","57262"
"02.01.2018 06:15 - 02.01.2018 06:30","61509","59410"
"02.01.2018 06:30 - 02.01.2018 06:45","63773","61120"
"02.01.2018 06:45 - 02.01.2018 07:00","65428","62956"
"02.01.2018 07:00 - 02.01.2018 07:15","67372","65501"
"02.01.2018 07:15 - 02.01.2018 07:30","68691","66802"
"02.01.2018 07:30 - 02.01.2018 07:45","69771","68240"
