"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"28.02.2016 11:15 - 28.02.2016 11:30","62916","63345"
"28.02.2016 11:30 - 28.02.2016 11:45","63147","63732"
"28.02.2016 11:45 - 28.02.2016 12:00","62834","63669"
"28.02.2016 12:00 - 28.02.2016 12:15","62627","63257"
"28.02.2016 12:15 - 28.02.2016 12:30","62397","62802"
"28.02.2016 12:30 - 28.02.2016 12:45","61679","62236"
"28.02.2016 12:45 - 28.02.2016 13:00","61064","61611"
"28.02.2016 13:00 - 28.02.2016 13:15","60851","61099"
"28.02.2016 13:15 - 28.02.2016 13:30","60121","60464"
"28.02.2016 13:30 - 28.02.2016 13:45","59423","60195"
"28.02.2016 13:45 - 28.02.2016 14:00","58532","59598"
"28.02.2016 14:00 - 28.02.2016 14:15","58481","59283"
"28.02.2016 14:15 - 28.02.2016 14:30","57874","58913"
"28.02.2016 14:30 - 28.02.2016 14:45","57871","58839"
"28.02.2016 14:45 - 28.02.2016 15:00","57741","58402"
"28.02.2016 15:00 - 28.02.2016 15:15","57779","58453"
"28.02.2016 15:15 - 28.02.2016 15:30","57417","58209"
"28.02.2016 15:30 - 28.02.2016 15:45","57310","57886"
"28.02.2016 15:45 - 28.02.2016 16:00","57453","57954"
"28.02.2016 16:00 - 28.02.2016 16:15","57259","57989"
"28.02.2016 16:15 - 28.02.2016 16:30","57688","58176"
"28.02.2016 16:30 - 28.02.2016 16:45","57470","58251"
"28.02.2016 16:45 - 28.02.2016 17:00","57665","58651"
"28.02.2016 17:00 - 28.02.2016 17:15","59124","59543"
"28.02.2016 17:15 - 28.02.2016 17:30","59692","60609"
"28.02.2016 17:30 - 28.02.2016 17:45","60844","61611"
"28.02.2016 17:45 - 28.02.2016 18:00","61703","62865"
"28.02.2016 18:00 - 28.02.2016 18:15","63315","65037"
"28.02.2016 18:15 - 28.02.2016 18:30","64075","66701"
"28.02.2016 18:30 - 28.02.2016 18:45","65029","67299"
"28.02.2016 18:45 - 28.02.2016 19:00","64897","67462"
"28.02.2016 19:00 - 28.02.2016 19:15","64966","67276"
"28.02.2016 19:15 - 28.02.2016 19:30","64623","66903"
"28.02.2016 19:30 - 28.02.2016 19:45","64153","66729"
"28.02.2016 19:45 - 28.02.2016 20:00","63876","66016"
"28.02.2016 20:00 - 28.02.2016 20:15","62981","65088"
"28.02.2016 20:15 - 28.02.2016 20:30","61726","64081"
"28.02.2016 20:30 - 28.02.2016 20:45","60369","62909"
"28.02.2016 20:45 - 28.02.2016 21:00","59717","61972"
"28.02.2016 21:00 - 28.02.2016 21:15","59146","61830"
"28.02.2016 21:15 - 28.02.2016 21:30","58865","61245"
"28.02.2016 21:30 - 28.02.2016 21:45","58774","61024"
"28.02.2016 21:45 - 28.02.2016 22:00","59226","61004"
"28.02.2016 22:00 - 28.02.2016 22:15","60087","62284"
"28.02.2016 22:15 - 28.02.2016 22:30","59769","62027"
"28.02.2016 22:30 - 28.02.2016 22:45","58691","61058"
"28.02.2016 22:45 - 28.02.2016 23:00","57632","60462"
"28.02.2016 23:00 - 28.02.2016 23:15","56496","59653"
"28.02.2016 23:15 - 28.02.2016 23:30","55450","58685"
"28.02.2016 23:30 - 28.02.2016 23:45","54184","57542"
"28.02.2016 23:45 - 29.02.2016 00:00","53496","56639"
"29.02.2016 00:00 - 29.02.2016 00:15","53495","56247"
"29.02.2016 00:15 - 29.02.2016 00:30","52877","55611"
"29.02.2016 00:30 - 29.02.2016 00:45","52095","55007"
"29.02.2016 00:45 - 29.02.2016 01:00","51459","54404"
"29.02.2016 01:00 - 29.02.2016 01:15","50990","54232"
"29.02.2016 01:15 - 29.02.2016 01:30","50680","53743"
"29.02.2016 01:30 - 29.02.2016 01:45","50324","53408"
"29.02.2016 01:45 - 29.02.2016 02:00","50250","53194"
"29.02.2016 02:00 - 29.02.2016 02:15","50029","52937"
"29.02.2016 02:15 - 29.02.2016 02:30","50077","52878"
"29.02.2016 02:30 - 29.02.2016 02:45","50088","52857"
"29.02.2016 02:45 - 29.02.2016 03:00","49996","52933"
"29.02.2016 03:00 - 29.02.2016 03:15","50367","52894"
"29.02.2016 03:15 - 29.02.2016 03:30","50170","53181"
"29.02.2016 03:30 - 29.02.2016 03:45","50812","53476"
"29.02.2016 03:45 - 29.02.2016 04:00","50566","53453"
"29.02.2016 04:00 - 29.02.2016 04:15","51657","54229"
"29.02.2016 04:15 - 29.02.2016 04:30","51946","54828"
"29.02.2016 04:30 - 29.02.2016 04:45","52476","55693"
"29.02.2016 04:45 - 29.02.2016 05:00","52812","56208"
"29.02.2016 05:00 - 29.02.2016 05:15","55153","57842"
"29.02.2016 05:15 - 29.02.2016 05:30","54854","59051"
"29.02.2016 05:30 - 29.02.2016 05:45","56578","60755"
"29.02.2016 05:45 - 29.02.2016 06:00","58388","62869"
"29.02.2016 06:00 - 29.02.2016 06:15","61780","66360"
"29.02.2016 06:15 - 29.02.2016 06:30","64361","69433"
"29.02.2016 06:30 - 29.02.2016 06:45","66941","71677"
"29.02.2016 06:45 - 29.02.2016 07:00","68759","73492"
"29.02.2016 07:00 - 29.02.2016 07:15","71154","75600"
"29.02.2016 07:15 - 29.02.2016 07:30","71557","76491"
"29.02.2016 07:30 - 29.02.2016 07:45","72570","77376"
"29.02.2016 07:45 - 29.02.2016 08:00","72805","78145"
"29.02.2016 08:00 - 29.02.2016 08:15","74483","79283"
"29.02.2016 08:15 - 29.02.2016 08:30","74504","79830"
"29.02.2016 08:30 - 29.02.2016 08:45","74652","80078"
"29.02.2016 08:45 - 29.02.2016 09:00","75085","80008"
"29.02.2016 09:00 - 29.02.2016 09:15","74908","80233"
"29.02.2016 09:15 - 29.02.2016 09:30","75295","80630"
"29.02.2016 09:30 - 29.02.2016 09:45","75710","80897"
"29.02.2016 09:45 - 29.02.2016 10:00","76261","81176"
"29.02.2016 10:00 - 29.02.2016 10:15","76591","81418"
"29.02.2016 10:15 - 29.02.2016 10:30","76834","81470"
"29.02.2016 10:30 - 29.02.2016 10:45","77234","81506"
"29.02.2016 10:45 - 29.02.2016 11:00","77511","81908"
"29.02.2016 11:00 - 29.02.2016 11:15","77953","82112"
"29.02.2016 11:15 - 29.02.2016 11:30","78060","82478"
"29.02.2016 11:30 - 29.02.2016 11:45","78444","82713"
"29.02.2016 11:45 - 29.02.2016 12:00","78854","82765"
"29.02.2016 12:00 - 29.02.2016 12:15","77489","82114"
"29.02.2016 12:15 - 29.02.2016 12:30","77184","81681"
"29.02.2016 12:30 - 29.02.2016 12:45","76867","81693"
"29.02.2016 12:45 - 29.02.2016 13:00","76887","81774"
"29.02.2016 13:00 - 29.02.2016 13:15","76867","82005"
"29.02.2016 13:15 - 29.02.2016 13:30","76450","81716"
"29.02.2016 13:30 - 29.02.2016 13:45","76003","81365"
"29.02.2016 13:45 - 29.02.2016 14:00","75125","80714"
"29.02.2016 14:00 - 29.02.2016 14:15","75024","80781"
"29.02.2016 14:15 - 29.02.2016 14:30","75121","80585"
"29.02.2016 14:30 - 29.02.2016 14:45","75156","80419"
"29.02.2016 14:45 - 29.02.2016 15:00","74177","79890"
"29.02.2016 15:00 - 29.02.2016 15:15","72317","79807"
"29.02.2016 15:15 - 29.02.2016 15:30","73969","79293"
"29.02.2016 15:30 - 29.02.2016 15:45","73450","79099"
"29.02.2016 15:45 - 29.02.2016 16:00","73042","78485"
"29.02.2016 16:00 - 29.02.2016 16:15","72849","78016"
"29.02.2016 16:15 - 29.02.2016 16:30","71692","77760"
"29.02.2016 16:30 - 29.02.2016 16:45","69532","77396"
"29.02.2016 16:45 - 29.02.2016 17:00","69533","77245"
"29.02.2016 17:00 - 29.02.2016 17:15","69560","77723"
"29.02.2016 17:15 - 29.02.2016 17:30","69976","78267"
"29.02.2016 17:30 - 29.02.2016 17:45","70882","78967"
"29.02.2016 17:45 - 29.02.2016 18:00","72111","79999"
"29.02.2016 18:00 - 29.02.2016 18:15","72804","80766"
"29.02.2016 18:15 - 29.02.2016 18:30","73491","82050"
"29.02.2016 18:30 - 29.02.2016 18:45","74608","83058"
"29.02.2016 18:45 - 29.02.2016 19:00","74368","83299"
"29.02.2016 19:00 - 29.02.2016 19:15","74284","82918"
"29.02.2016 19:15 - 29.02.2016 19:30","73578","82054"
"29.02.2016 19:30 - 29.02.2016 19:45","73498","81110"
"29.02.2016 19:45 - 29.02.2016 20:00","73248","80411"
"29.02.2016 20:00 - 29.02.2016 20:15","71819","78928"
"29.02.2016 20:15 - 29.02.2016 20:30","70696","77277"
"29.02.2016 20:30 - 29.02.2016 20:45","69703","76046"
"29.02.2016 20:45 - 29.02.2016 21:00","68958","74658"
"29.02.2016 21:00 - 29.02.2016 21:15","68276","73731"
"29.02.2016 21:15 - 29.02.2016 21:30","68002","72784"
"29.02.2016 21:30 - 29.02.2016 21:45","67499","71730"
"29.02.2016 21:45 - 29.02.2016 22:00","66373","70505"
"29.02.2016 22:00 - 29.02.2016 22:15","66129","70742"
"29.02.2016 22:15 - 29.02.2016 22:30","65331","70009"
"29.02.2016 22:30 - 29.02.2016 22:45","64036","68757"
"29.02.2016 22:45 - 29.02.2016 23:00","62433","67230"
"29.02.2016 23:00 - 29.02.2016 23:15","60873","66186"
"29.02.2016 23:15 - 29.02.2016 23:30","59728","64805"
"29.02.2016 23:30 - 29.02.2016 23:45","58616","63625"
"29.02.2016 23:45 - 01.03.2016 00:00","57542","62753"
"01.03.2016 00:00 - 01.03.2016 00:15","57898","62299"
"01.03.2016 00:15 - 01.03.2016 00:30","56957","61246"
"01.03.2016 00:30 - 01.03.2016 00:45","56226","60489"
"01.03.2016 00:45 - 01.03.2016 01:00","55674","59997"
"01.03.2016 01:00 - 01.03.2016 01:15","54765","59553"
"01.03.2016 01:15 - 01.03.2016 01:30","54276","59195"
"01.03.2016 01:30 - 01.03.2016 01:45","53952","58934"
"01.03.2016 01:45 - 01.03.2016 02:00","53635","58550"
"01.03.2016 02:00 - 01.03.2016 02:15","53310","58219"
"01.03.2016 02:15 - 01.03.2016 02:30","53150","57918"
"01.03.2016 02:30 - 01.03.2016 02:45","53232","57742"
"01.03.2016 02:45 - 01.03.2016 03:00","53391","57920"
"01.03.2016 03:00 - 01.03.2016 03:15","53181","58062"
"01.03.2016 03:15 - 01.03.2016 03:30","53346","58144"
"01.03.2016 03:30 - 01.03.2016 03:45","53960","58197"
"01.03.2016 03:45 - 01.03.2016 04:00","53810","58301"
"01.03.2016 04:00 - 01.03.2016 04:15","54594","58888"
"01.03.2016 04:15 - 01.03.2016 04:30","54371","59393"
"01.03.2016 04:30 - 01.03.2016 04:45","55251","59924"
"01.03.2016 04:45 - 01.03.2016 05:00","55301","60661"
"01.03.2016 05:00 - 01.03.2016 05:15","57319","61918"
"01.03.2016 05:15 - 01.03.2016 05:30","57077","62778"
"01.03.2016 05:30 - 01.03.2016 05:45","58746","64297"
"01.03.2016 05:45 - 01.03.2016 06:00","60330","65835"
"01.03.2016 06:00 - 01.03.2016 06:15","63456","68829"
"01.03.2016 06:15 - 01.03.2016 06:30","65877","71892"
"01.03.2016 06:30 - 01.03.2016 06:45","68191","74250"
"01.03.2016 06:45 - 01.03.2016 07:00","69936","75945"
"01.03.2016 07:00 - 01.03.2016 07:15","72325","77327"
"01.03.2016 07:15 - 01.03.2016 07:30","72870","78343"
"01.03.2016 07:30 - 01.03.2016 07:45","73863","78864"
"01.03.2016 07:45 - 01.03.2016 08:00","74114","79413"
"01.03.2016 08:00 - 01.03.2016 08:15","75539","79972"
"01.03.2016 08:15 - 01.03.2016 08:30","75759","80284"
"01.03.2016 08:30 - 01.03.2016 08:45","75997","80962"
"01.03.2016 08:45 - 01.03.2016 09:00","76390","80907"
"01.03.2016 09:00 - 01.03.2016 09:15","76214","80749"
"01.03.2016 09:15 - 01.03.2016 09:30","76512","81285"
"01.03.2016 09:30 - 01.03.2016 09:45","76900","81976"
"01.03.2016 09:45 - 01.03.2016 10:00","77480","82475"
"01.03.2016 10:00 - 01.03.2016 10:15","77825","82749"
"01.03.2016 10:15 - 01.03.2016 10:30","77936","83505"
"01.03.2016 10:30 - 01.03.2016 10:45","78603","83827"
"01.03.2016 10:45 - 01.03.2016 11:00","78692","84587"
"01.03.2016 11:00 - 01.03.2016 11:15","78802","85143"
"01.03.2016 11:15 - 01.03.2016 11:30","79037","85898"
"01.03.2016 11:30 - 01.03.2016 11:45","79260","86289"
"01.03.2016 11:45 - 01.03.2016 12:00","79051","86527"
"01.03.2016 12:00 - 01.03.2016 12:15","78492","86114"
"01.03.2016 12:15 - 01.03.2016 12:30","77869","86223"
"01.03.2016 12:30 - 01.03.2016 12:45","77666","86518"
"01.03.2016 12:45 - 01.03.2016 13:00","78111","86615"
"01.03.2016 13:00 - 01.03.2016 13:15","78099","86521"
"01.03.2016 13:15 - 01.03.2016 13:30","77490","86423"
"01.03.2016 13:30 - 01.03.2016 13:45","77553","86392"
"01.03.2016 13:45 - 01.03.2016 14:00","76011","85905"
"01.03.2016 14:00 - 01.03.2016 14:15","76263","85200"
"01.03.2016 14:15 - 01.03.2016 14:30","75822","84446"
"01.03.2016 14:30 - 01.03.2016 14:45","76007","84196"
"01.03.2016 14:45 - 01.03.2016 15:00","75718","83757"
"01.03.2016 15:00 - 01.03.2016 15:15","75403","82912"
"01.03.2016 15:15 - 01.03.2016 15:30","75314","81889"
"01.03.2016 15:30 - 01.03.2016 15:45","74779","82531"
"01.03.2016 15:45 - 01.03.2016 16:00","74252","81469"
"01.03.2016 16:00 - 01.03.2016 16:15","74401","80737"
"01.03.2016 16:15 - 01.03.2016 16:30","73843","80115"
"01.03.2016 16:30 - 01.03.2016 16:45","73702","79296"
"01.03.2016 16:45 - 01.03.2016 17:00","74177","78852"
"01.03.2016 17:00 - 01.03.2016 17:15","74325","78941"
"01.03.2016 17:15 - 01.03.2016 17:30","74725","79436"
"01.03.2016 17:30 - 01.03.2016 17:45","75389","80431"
"01.03.2016 17:45 - 01.03.2016 18:00","76221","81630"
"01.03.2016 18:00 - 01.03.2016 18:15","76941","82846"
"01.03.2016 18:15 - 01.03.2016 18:30","77361","84101"
"01.03.2016 18:30 - 01.03.2016 18:45","78529","84693"
"01.03.2016 18:45 - 01.03.2016 19:00","78318","84886"
"01.03.2016 19:00 - 01.03.2016 19:15","77819","84412"
"01.03.2016 19:15 - 01.03.2016 19:30","76947","83556"
"01.03.2016 19:30 - 01.03.2016 19:45","76750","82735"
"01.03.2016 19:45 - 01.03.2016 20:00","75867","81976"
"01.03.2016 20:00 - 01.03.2016 20:15","74263","80690"
"01.03.2016 20:15 - 01.03.2016 20:30","72570","79094"
"01.03.2016 20:30 - 01.03.2016 20:45","71076","77737"
"01.03.2016 20:45 - 01.03.2016 21:00","70235","77005"
"01.03.2016 21:00 - 01.03.2016 21:15","69028","75765"
"01.03.2016 21:15 - 01.03.2016 21:30","68667","74950"
"01.03.2016 21:30 - 01.03.2016 21:45","67669","73920"
"01.03.2016 21:45 - 01.03.2016 22:00","67034","73053"
"01.03.2016 22:00 - 01.03.2016 22:15","66752","73033"
"01.03.2016 22:15 - 01.03.2016 22:30","66214","71910"
"01.03.2016 22:30 - 01.03.2016 22:45","65061","70565"
"01.03.2016 22:45 - 01.03.2016 23:00","63514","69080"
"01.03.2016 23:00 - 01.03.2016 23:15","62042","67635"
"01.03.2016 23:15 - 01.03.2016 23:30","60866","66381"
"01.03.2016 23:30 - 01.03.2016 23:45","59728","65236"
"01.03.2016 23:45 - 02.03.2016 00:00","58817","64500"
"02.03.2016 00:00 - 02.03.2016 00:15","58870","63477"
"02.03.2016 00:15 - 02.03.2016 00:30","57633","62592"
"02.03.2016 00:30 - 02.03.2016 00:45","57037","61656"
"02.03.2016 00:45 - 02.03.2016 01:00","56455","60911"
"02.03.2016 01:00 - 02.03.2016 01:15","55691","60503"
"02.03.2016 01:15 - 02.03.2016 01:30","55124","59816"
"02.03.2016 01:30 - 02.03.2016 01:45","55119","59578"
"02.03.2016 01:45 - 02.03.2016 02:00","54811","59291"
"02.03.2016 02:00 - 02.03.2016 02:15","54318","58825"
"02.03.2016 02:15 - 02.03.2016 02:30","54051","58454"
"02.03.2016 02:30 - 02.03.2016 02:45","53904","58245"
"02.03.2016 02:45 - 02.03.2016 03:00","54030","58243"
"02.03.2016 03:00 - 02.03.2016 03:15","53923","58370"
"02.03.2016 03:15 - 02.03.2016 03:30","53931","58355"
"02.03.2016 03:30 - 02.03.2016 03:45","54021","58495"
"02.03.2016 03:45 - 02.03.2016 04:00","53998","58559"
"02.03.2016 04:00 - 02.03.2016 04:15","54540","58961"
"02.03.2016 04:15 - 02.03.2016 04:30","54714","59298"
"02.03.2016 04:30 - 02.03.2016 04:45","55437","59899"
"02.03.2016 04:45 - 02.03.2016 05:00","55755","60475"
"02.03.2016 05:00 - 02.03.2016 05:15","57720","61822"
"02.03.2016 05:15 - 02.03.2016 05:30","57610","62730"
"02.03.2016 05:30 - 02.03.2016 05:45","59248","64138"
"02.03.2016 05:45 - 02.03.2016 06:00","60808","65459"
"02.03.2016 06:00 - 02.03.2016 06:15","63911","68538"
"02.03.2016 06:15 - 02.03.2016 06:30","66352","71640"
"02.03.2016 06:30 - 02.03.2016 06:45","68824","73884"
"02.03.2016 06:45 - 02.03.2016 07:00","70203","75506"
"02.03.2016 07:00 - 02.03.2016 07:15","72315","77340"
"02.03.2016 07:15 - 02.03.2016 07:30","73235","78535"
"02.03.2016 07:30 - 02.03.2016 07:45","74145","79298"
"02.03.2016 07:45 - 02.03.2016 08:00","74658","80417"
"02.03.2016 08:00 - 02.03.2016 08:15","75784","81394"
"02.03.2016 08:15 - 02.03.2016 08:30","76315","81718"
"02.03.2016 08:30 - 02.03.2016 08:45","76580","81916"
"02.03.2016 08:45 - 02.03.2016 09:00","76606","81881"
"02.03.2016 09:00 - 02.03.2016 09:15","76486","81695"
"02.03.2016 09:15 - 02.03.2016 09:30","76562","81976"
"02.03.2016 09:30 - 02.03.2016 09:45","76939","82248"
"02.03.2016 09:45 - 02.03.2016 10:00","77196","82696"
"02.03.2016 10:00 - 02.03.2016 10:15","77425","82847"
"02.03.2016 10:15 - 02.03.2016 10:30","77585","83313"
"02.03.2016 10:30 - 02.03.2016 10:45","77852","83564"
"02.03.2016 10:45 - 02.03.2016 11:00","78016","83976"
"02.03.2016 11:00 - 02.03.2016 11:15","78120","84117"
"02.03.2016 11:15 - 02.03.2016 11:30","78327","84553"
"02.03.2016 11:30 - 02.03.2016 11:45","78235","84115"
"02.03.2016 11:45 - 02.03.2016 12:00","77809","83758"
"02.03.2016 12:00 - 02.03.2016 12:15","77192","83261"
"02.03.2016 12:15 - 02.03.2016 12:30","77604","82778"
"02.03.2016 12:30 - 02.03.2016 12:45","76648","82707"
"02.03.2016 12:45 - 02.03.2016 13:00","76925","82643"
"02.03.2016 13:00 - 02.03.2016 13:15","77451","83355"
"02.03.2016 13:15 - 02.03.2016 13:30","76084","83176"
"02.03.2016 13:30 - 02.03.2016 13:45","76645","82783"
"02.03.2016 13:45 - 02.03.2016 14:00","76197","82027"
"02.03.2016 14:00 - 02.03.2016 14:15","75088","82144"
"02.03.2016 14:15 - 02.03.2016 14:30","75073","82087"
"02.03.2016 14:30 - 02.03.2016 14:45","74951","81933"
"02.03.2016 14:45 - 02.03.2016 15:00","75159","81624"
"02.03.2016 15:00 - 02.03.2016 15:15","74781","81677"
"02.03.2016 15:15 - 02.03.2016 15:30","74595","81296"
"02.03.2016 15:30 - 02.03.2016 15:45","74303","80540"
"02.03.2016 15:45 - 02.03.2016 16:00","73399","80046"
"02.03.2016 16:00 - 02.03.2016 16:15","73642","79525"
"02.03.2016 16:15 - 02.03.2016 16:30","73235","79089"
"02.03.2016 16:30 - 02.03.2016 16:45","73181","78851"
"02.03.2016 16:45 - 02.03.2016 17:00","73536","78611"
"02.03.2016 17:00 - 02.03.2016 17:15","74168","79218"
"02.03.2016 17:15 - 02.03.2016 17:30","74384","79661"
"02.03.2016 17:30 - 02.03.2016 17:45","75026","79791"
"02.03.2016 17:45 - 02.03.2016 18:00","75995","80462"
"02.03.2016 18:00 - 02.03.2016 18:15","76874","81212"
"02.03.2016 18:15 - 02.03.2016 18:30","77743","82311"
"02.03.2016 18:30 - 02.03.2016 18:45","78794","83411"
"02.03.2016 18:45 - 02.03.2016 19:00","78836","83336"
"02.03.2016 19:00 - 02.03.2016 19:15","78545","83014"
"02.03.2016 19:15 - 02.03.2016 19:30","77604","82363"
"02.03.2016 19:30 - 02.03.2016 19:45","77385","81297"
"02.03.2016 19:45 - 02.03.2016 20:00","76853","80490"
"02.03.2016 20:00 - 02.03.2016 20:15","74743","79197"
"02.03.2016 20:15 - 02.03.2016 20:30","73311","77413"
"02.03.2016 20:30 - 02.03.2016 20:45","72088","76110"
"02.03.2016 20:45 - 02.03.2016 21:00","71223","75118"
"02.03.2016 21:00 - 02.03.2016 21:15","69769","74176"
"02.03.2016 21:15 - 02.03.2016 21:30","69090","73091"
"02.03.2016 21:30 - 02.03.2016 21:45","68291","72363"
"02.03.2016 21:45 - 02.03.2016 22:00","67548","71293"
"02.03.2016 22:00 - 02.03.2016 22:15","67313","71307"
"02.03.2016 22:15 - 02.03.2016 22:30","66759","70470"
"02.03.2016 22:30 - 02.03.2016 22:45","65630","69177"
"02.03.2016 22:45 - 02.03.2016 23:00","64133","67681"
"02.03.2016 23:00 - 02.03.2016 23:15","62660","66341"
"02.03.2016 23:15 - 02.03.2016 23:30","61596","65043"
"02.03.2016 23:30 - 02.03.2016 23:45","60263","63854"
"02.03.2016 23:45 - 03.03.2016 00:00","59580","62799"
"03.03.2016 00:00 - 03.03.2016 00:15","58757","61578"
"03.03.2016 00:15 - 03.03.2016 00:30","57476","60607"
"03.03.2016 00:30 - 03.03.2016 00:45","56664","59770"
"03.03.2016 00:45 - 03.03.2016 01:00","56034","59156"
"03.03.2016 01:00 - 03.03.2016 01:15","55496","58583"
"03.03.2016 01:15 - 03.03.2016 01:30","54814","58062"
"03.03.2016 01:30 - 03.03.2016 01:45","54634","57836"
"03.03.2016 01:45 - 03.03.2016 02:00","54460","57527"
"03.03.2016 02:00 - 03.03.2016 02:15","54059","57222"
"03.03.2016 02:15 - 03.03.2016 02:30","53920","57345"
"03.03.2016 02:30 - 03.03.2016 02:45","53744","57023"
"03.03.2016 02:45 - 03.03.2016 03:00","53738","57104"
"03.03.2016 03:00 - 03.03.2016 03:15","53790","57049"
"03.03.2016 03:15 - 03.03.2016 03:30","53955","57217"
"03.03.2016 03:30 - 03.03.2016 03:45","54115","57276"
"03.03.2016 03:45 - 03.03.2016 04:00","54044","57523"
"03.03.2016 04:00 - 03.03.2016 04:15","54735","58345"
"03.03.2016 04:15 - 03.03.2016 04:30","54916","58667"
"03.03.2016 04:30 - 03.03.2016 04:45","55277","59406"
"03.03.2016 04:45 - 03.03.2016 05:00","55759","60310"
"03.03.2016 05:00 - 03.03.2016 05:15","57734","61632"
"03.03.2016 05:15 - 03.03.2016 05:30","57741","62371"
"03.03.2016 05:30 - 03.03.2016 05:45","59497","63964"
"03.03.2016 05:45 - 03.03.2016 06:00","60831","65614"
"03.03.2016 06:00 - 03.03.2016 06:15","64053","68614"
"03.03.2016 06:15 - 03.03.2016 06:30","66685","71420"
"03.03.2016 06:30 - 03.03.2016 06:45","69267","73894"
"03.03.2016 06:45 - 03.03.2016 07:00","70925","75520"
"03.03.2016 07:00 - 03.03.2016 07:15","72981","77557"
"03.03.2016 07:15 - 03.03.2016 07:30","73656","78670"
"03.03.2016 07:30 - 03.03.2016 07:45","74659","79790"
"03.03.2016 07:45 - 03.03.2016 08:00","74981","80411"
"03.03.2016 08:00 - 03.03.2016 08:15","76454","81170"
"03.03.2016 08:15 - 03.03.2016 08:30","76712","81356"
"03.03.2016 08:30 - 03.03.2016 08:45","76591","81673"
"03.03.2016 08:45 - 03.03.2016 09:00","76740","81912"
"03.03.2016 09:00 - 03.03.2016 09:15","76850","81608"
"03.03.2016 09:15 - 03.03.2016 09:30","76986","81853"
"03.03.2016 09:30 - 03.03.2016 09:45","77394","82502"
"03.03.2016 09:45 - 03.03.2016 10:00","77694","82441"
"03.03.2016 10:00 - 03.03.2016 10:15","78260","82589"
"03.03.2016 10:15 - 03.03.2016 10:30","78044","82880"
"03.03.2016 10:30 - 03.03.2016 10:45","78438","83151"
"03.03.2016 10:45 - 03.03.2016 11:00","78623","83580"
"03.03.2016 11:00 - 03.03.2016 11:15","79109","83601"
"03.03.2016 11:15 - 03.03.2016 11:30","79371","83877"
"03.03.2016 11:30 - 03.03.2016 11:45","79472","83993"
"03.03.2016 11:45 - 03.03.2016 12:00","79240","83477"
"03.03.2016 12:00 - 03.03.2016 12:15","78731","82883"
"03.03.2016 12:15 - 03.03.2016 12:30","78165","82533"
"03.03.2016 12:30 - 03.03.2016 12:45","77890","82758"
"03.03.2016 12:45 - 03.03.2016 13:00","78600","82470"
"03.03.2016 13:00 - 03.03.2016 13:15","78449","82587"
"03.03.2016 13:15 - 03.03.2016 13:30","77754","82340"
"03.03.2016 13:30 - 03.03.2016 13:45","77450","81883"
"03.03.2016 13:45 - 03.03.2016 14:00","76630","81127"
"03.03.2016 14:00 - 03.03.2016 14:15","76035","81407"
"03.03.2016 14:15 - 03.03.2016 14:30","75792","81042"
"03.03.2016 14:30 - 03.03.2016 14:45","76023","80953"
"03.03.2016 14:45 - 03.03.2016 15:00","75862","80548"
"03.03.2016 15:00 - 03.03.2016 15:15","75200","80659"
"03.03.2016 15:15 - 03.03.2016 15:30","74914","80286"
"03.03.2016 15:30 - 03.03.2016 15:45","74804","79688"
"03.03.2016 15:45 - 03.03.2016 16:00","73785","78855"
"03.03.2016 16:00 - 03.03.2016 16:15","74318","78438"
"03.03.2016 16:15 - 03.03.2016 16:30","73607","78024"
"03.03.2016 16:30 - 03.03.2016 16:45","73720","77912"
"03.03.2016 16:45 - 03.03.2016 17:00","74320","78045"
"03.03.2016 17:00 - 03.03.2016 17:15","74515","78646"
"03.03.2016 17:15 - 03.03.2016 17:30","74912","78662"
"03.03.2016 17:30 - 03.03.2016 17:45","75846","79174"
"03.03.2016 17:45 - 03.03.2016 18:00","76461","80130"
"03.03.2016 18:00 - 03.03.2016 18:15","76865","80887"
"03.03.2016 18:15 - 03.03.2016 18:30","77964","81941"
"03.03.2016 18:30 - 03.03.2016 18:45","78870","82997"
"03.03.2016 18:45 - 03.03.2016 19:00","79292","83469"
"03.03.2016 19:00 - 03.03.2016 19:15","79395","83095"
"03.03.2016 19:15 - 03.03.2016 19:30","78259","81916"
"03.03.2016 19:30 - 03.03.2016 19:45","77676","81318"
"03.03.2016 19:45 - 03.03.2016 20:00","77290","80496"
"03.03.2016 20:00 - 03.03.2016 20:15","75322","79060"
"03.03.2016 20:15 - 03.03.2016 20:30","73659","77572"
"03.03.2016 20:30 - 03.03.2016 20:45","72066","76286"
"03.03.2016 20:45 - 03.03.2016 21:00","71311","75176"
"03.03.2016 21:00 - 03.03.2016 21:15","69696","74292"
"03.03.2016 21:15 - 03.03.2016 21:30","69010","73153"
"03.03.2016 21:30 - 03.03.2016 21:45","68263","72257"
"03.03.2016 21:45 - 03.03.2016 22:00","67254","71342"
"03.03.2016 22:00 - 03.03.2016 22:15","67201","71023"
"03.03.2016 22:15 - 03.03.2016 22:30","66590","70113"
"03.03.2016 22:30 - 03.03.2016 22:45","65155","69054"
"03.03.2016 22:45 - 03.03.2016 23:00","64054","67829"
"03.03.2016 23:00 - 03.03.2016 23:15","62408","66139"
"03.03.2016 23:15 - 03.03.2016 23:30","61538","64966"
"03.03.2016 23:30 - 03.03.2016 23:45","60209","64095"
"03.03.2016 23:45 - 04.03.2016 00:00","59838","62993"
