"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"02.01.2016 00:15 - 02.01.2016 00:30","46715","47942"
"02.01.2016 00:30 - 02.01.2016 00:45","46301","47428"
"02.01.2016 00:45 - 02.01.2016 01:00","45947","46864"
"02.01.2016 01:00 - 02.01.2016 01:15","45589","46280"
"02.01.2016 01:15 - 02.01.2016 01:30","44895","45577"
"02.01.2016 01:30 - 02.01.2016 01:45","44913","45340"
"02.01.2016 01:45 - 02.01.2016 02:00","44544","45051"
"02.01.2016 02:00 - 02.01.2016 02:15","44409","44852"
"02.01.2016 02:15 - 02.01.2016 02:30","43517","44667"
"02.01.2016 02:30 - 02.01.2016 02:45","43758","44471"
"02.01.2016 02:45 - 02.01.2016 03:00","43325","44283"
"02.01.2016 03:00 - 02.01.2016 03:15","43380","44175"
"02.01.2016 03:15 - 02.01.2016 03:30","42879","44140"
"02.01.2016 03:30 - 02.01.2016 03:45","42877","44113"
"02.01.2016 03:45 - 02.01.2016 04:00","43123","44298"
"02.01.2016 04:00 - 02.01.2016 04:15","42633","44730"
"02.01.2016 04:15 - 02.01.2016 04:30","43403","44777"
"02.01.2016 04:30 - 02.01.2016 04:45","42575","45026"
"02.01.2016 04:45 - 02.01.2016 05:00","42656","45323"
"02.01.2016 05:00 - 02.01.2016 05:15","42999","45790"
"02.01.2016 05:15 - 02.01.2016 05:30","42641","45929"
"02.01.2016 05:30 - 02.01.2016 05:45","42800","46142"
"02.01.2016 05:45 - 02.01.2016 06:00","42832","46488"
"02.01.2016 06:00 - 02.01.2016 06:15","42599","46772"
"02.01.2016 06:15 - 02.01.2016 06:30","42181","46901"
"02.01.2016 06:30 - 02.01.2016 06:45","42697","47465"
"02.01.2016 06:45 - 02.01.2016 07:00","43506","48221"
"02.01.2016 07:00 - 02.01.2016 07:15","44327","49579"
"02.01.2016 07:15 - 02.01.2016 07:30","44964","50427"
"02.01.2016 07:30 - 02.01.2016 07:45","46392","51282"
"02.01.2016 07:45 - 02.01.2016 08:00","47091","52598"
"02.01.2016 08:00 - 02.01.2016 08:15","48162","53954"
"02.01.2016 08:15 - 02.01.2016 08:30","48331","54977"
"02.01.2016 08:30 - 02.01.2016 08:45","49301","55644"
"02.01.2016 08:45 - 02.01.2016 09:00","49900","56658"
"02.01.2016 09:00 - 02.01.2016 09:15","51070","58291"
"02.01.2016 09:15 - 02.01.2016 09:30","52008","58939"
"02.01.2016 09:30 - 02.01.2016 09:45","52489","59814"
"02.01.2016 09:45 - 02.01.2016 10:00","53460","60541"
"02.01.2016 10:00 - 02.01.2016 10:15","53817","61362"
"02.01.2016 10:15 - 02.01.2016 10:30","54581","61796"
"02.01.2016 10:30 - 02.01.2016 10:45","54694","62181"
"02.01.2016 10:45 - 02.01.2016 11:00","54929","62566"
"02.01.2016 11:00 - 02.01.2016 11:15","55771","63245"
"02.01.2016 11:15 - 02.01.2016 11:30","56104","63909"
"02.01.2016 11:30 - 02.01.2016 11:45","56817","64474"
"02.01.2016 11:45 - 02.01.2016 12:00","56849","64668"
"02.01.2016 12:00 - 02.01.2016 12:15","56613","64677"
"02.01.2016 12:15 - 02.01.2016 12:30","56114","64521"
"02.01.2016 12:30 - 02.01.2016 12:45","55858","64490"
"02.01.2016 12:45 - 02.01.2016 13:00","55770","64103"
"02.01.2016 13:00 - 02.01.2016 13:15","54914","64171"
"02.01.2016 13:15 - 02.01.2016 13:30","54691","63781"
"02.01.2016 13:30 - 02.01.2016 13:45","54385","63554"
"02.01.2016 13:45 - 02.01.2016 14:00","53725","63330"
"02.01.2016 14:00 - 02.01.2016 14:15","53278","63199"
"02.01.2016 14:15 - 02.01.2016 14:30","52666","62996"
"02.01.2016 14:30 - 02.01.2016 14:45","52512","62887"
"02.01.2016 14:45 - 02.01.2016 15:00","52513","62726"
"02.01.2016 15:00 - 02.01.2016 15:15","52436","63042"
"02.01.2016 15:15 - 02.01.2016 15:30","52920","63150"
"02.01.2016 15:30 - 02.01.2016 15:45","52170","63243"
"02.01.2016 15:45 - 02.01.2016 16:00","52682","63455"
"02.01.2016 16:00 - 02.01.2016 16:15","52499","64085"
"02.01.2016 16:15 - 02.01.2016 16:30","54039","64721"
"02.01.2016 16:30 - 02.01.2016 16:45","55216","65687"
"02.01.2016 16:45 - 02.01.2016 17:00","56459","66772"
"02.01.2016 17:00 - 02.01.2016 17:15","58121","67748"
"02.01.2016 17:15 - 02.01.2016 17:30","58644","68449"
"02.01.2016 17:30 - 02.01.2016 17:45","59607","68857"
"02.01.2016 17:45 - 02.01.2016 18:00","59604","69180"
"02.01.2016 18:00 - 02.01.2016 18:15","59752","69322"
"02.01.2016 18:15 - 02.01.2016 18:30","60200","69120"
"02.01.2016 18:30 - 02.01.2016 18:45","59783","68645"
"02.01.2016 18:45 - 02.01.2016 19:00","59205","68067"
"02.01.2016 19:00 - 02.01.2016 19:15","59329","67745"
"02.01.2016 19:15 - 02.01.2016 19:30","58071","67013"
"02.01.2016 19:30 - 02.01.2016 19:45","57681","66530"
"02.01.2016 19:45 - 02.01.2016 20:00","57828","65890"
"02.01.2016 20:00 - 02.01.2016 20:15","56256","64677"
"02.01.2016 20:15 - 02.01.2016 20:30","55007","63292"
"02.01.2016 20:30 - 02.01.2016 20:45","54400","62183"
"02.01.2016 20:45 - 02.01.2016 21:00","53160","61347"
"02.01.2016 21:00 - 02.01.2016 21:15","52931","60733"
"02.01.2016 21:15 - 02.01.2016 21:30","52075","60215"
"02.01.2016 21:30 - 02.01.2016 21:45","51980","59681"
"02.01.2016 21:45 - 02.01.2016 22:00","51829","59505"
"02.01.2016 22:00 - 02.01.2016 22:15","52464","60377"
"02.01.2016 22:15 - 02.01.2016 22:30","52954","60039"
"02.01.2016 22:30 - 02.01.2016 22:45","52258","59499"
"02.01.2016 22:45 - 02.01.2016 23:00","51662","58559"
"02.01.2016 23:00 - 02.01.2016 23:15","50914","57681"
"02.01.2016 23:15 - 02.01.2016 23:30","50467","56872"
"02.01.2016 23:30 - 02.01.2016 23:45","49094","55787"
"02.01.2016 23:45 - 03.01.2016 00:00","48010","54752"
"03.01.2016 00:00 - 03.01.2016 00:15","46823","54015"
"03.01.2016 00:15 - 03.01.2016 00:30","46126","53054"
"03.01.2016 00:30 - 03.01.2016 00:45","45605","52140"
"03.01.2016 00:45 - 03.01.2016 01:00","45071","51376"
"03.01.2016 01:00 - 03.01.2016 01:15","44468","50470"
"03.01.2016 01:15 - 03.01.2016 01:30","43898","49943"
"03.01.2016 01:30 - 03.01.2016 01:45","43711","49301"
"03.01.2016 01:45 - 03.01.2016 02:00","43406","48846"
"03.01.2016 02:00 - 03.01.2016 02:15","43020","48793"
"03.01.2016 02:15 - 03.01.2016 02:30","42699","48341"
