Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
01.01.2021 00:00 - 01.01.2021 00:15,43935,45458
01.01.2021 00:15 - 01.01.2021 00:30,43738,45237
01.01.2021 00:30 - 01.01.2021 00:45,43247,44886
01.01.2021 00:45 - 01.01.2021 01:00,43162,44585
01.01.2021 01:00 - 01.01.2021 01:15,42453,43952
01.01.2021 01:15 - 01.01.2021 01:30,42178,43436
01.01.2021 01:30 - 01.01.2021 01:45,41777,42921
01.01.2021 01:45 - 01.01.2021 02:00,41401,42714
01.01.2021 02:00 - 01.01.2021 02:15,41128,42042
01.01.2021 02:15 - 01.01.2021 02:30,41048,41638
01.01.2021 02:30 - 01.01.2021 02:45,40765,41285
01.01.2021 02:45 - 01.01.2021 03:00,40493,40958
01.01.2021 03:00 - 01.01.2021 03:15,40577,40800
01.01.2021 03:15 - 01.01.2021 03:30,40639,40715
01.01.2021 03:30 - 01.01.2021 03:45,40435,40634
01.01.2021 03:45 - 01.01.2021 04:00,40310,40486
01.01.2021 04:00 - 01.01.2021 04:15,40354,40756
01.01.2021 04:15 - 01.01.2021 04:30,40204,40692
01.01.2021 04:30 - 01.01.2021 04:45,40109,40662
01.01.2021 04:45 - 01.01.2021 05:00,40095,40424
01.01.2021 05:00 - 01.01.2021 05:15,40018,40319
01.01.2021 05:15 - 01.01.2021 05:30,39673,39900
01.01.2021 05:30 - 01.01.2021 05:45,39459,39876
01.01.2021 05:45 - 01.01.2021 06:00,39010,39931
01.01.2021 06:00 - 01.01.2021 06:15,38548,39486
01.01.2021 06:15 - 01.01.2021 06:30,38342,39362
01.01.2021 06:30 - 01.01.2021 06:45,38437,39312
01.01.2021 06:45 - 01.01.2021 07:00,38058,39405
01.01.2021 07:00 - 01.01.2021 07:15,38384,39595
01.01.2021 07:15 - 01.01.2021 07:30,38462,39772
01.01.2021 07:30 - 01.01.2021 07:45,38836,40078
01.01.2021 07:45 - 01.01.2021 08:00,39121,40241
01.01.2021 08:00 - 01.01.2021 08:15,39753,40502
01.01.2021 08:15 - 01.01.2021 08:30,39898,40786
01.01.2021 08:30 - 01.01.2021 08:45,40660,41161
01.01.2021 08:45 - 01.01.2021 09:00,40783,41753
01.01.2021 09:00 - 01.01.2021 09:15,41750,42662
01.01.2021 09:15 - 01.01.2021 09:30,42307,43270
