Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,dispatch_load,injection_load,year,capacity limit,capacity threshold,price,dispatch
-0.0,36956.99999733726,34175.290325443806,6089.000002662739,10.56,0,75.01,43046.0,43046.0,6089.000002662739,6089.000002662739,2023,82278.0,65136.75,85.57000000000001,36956.99999733726
-0.0,4287.011984757426,29565.60001925302,36553.988015242576,10.56,1,26.81,40841.0,40841.0,36553.988015242576,36553.988015242576,2023,82278.0,65136.75,37.37,4287.011984757426
-0.0,2.5826270390813533e-06,29565.600016476,39058.99999741737,10.56,2,-29.92,39059.0,39059.0,39058.99999741737,39058.99999741737,2023,82278.0,65136.75,-19.36,2.5826270390813533e-06
-0.0,3.106247763158196e-06,29565.60001313595,37630.999996893755,10.56,3,-29.92,37631.0,37631.0,37630.999996893755,37630.999996893755,2023,82278.0,65136.75,-19.36,3.106247763158196e-06
-27365.75000023616,0.0,55563.0625133603,65136.75000023616,10.560000004936802,4,-29.9,37771.0,65136.75000023616,65136.75000023616,37771.0,2023,82278.0,65136.75,-19.339999995063195,-27365.75000023616
-0.0,15875.623140559024,38492.49999663017,21467.376859440978,10.56,5,0.84,37343.0,37343.0,21467.376859440978,21467.376859440978,2023,82278.0,65136.75,11.4,15875.623140559024
-29944.7500002008,0.0,66940.01249682093,65136.7500002008,10.56000000419755,6,11.73,35192.0,65136.7500002008,65136.7500002008,35192.0,2023,82278.0,65136.75,22.29000000419755,-29944.7500002008
-30091.750000213706,0.0,95527.17499702395,65136.75000021371,10.560000004467387,7,-29.9,35045.0,65136.75000021371,65136.75000021371,35045.0,2023,82278.0,65136.75,-19.33999999553261,-30091.750000213706
-28687.750000224743,0.0,122780.53749723746,65136.75000022474,10.560000004698145,8,-30.0,36449.0,65136.75000022474,65136.75000022474,36449.0,2023,82278.0,65136.75,-19.439999995301854,-28687.750000224743
-26365.750000245658,0.0,147827.99999747082,65136.75000024566,10.560000005135352,9,-30.0,38771.0,65136.75000024566,65136.75000024566,38771.0,2023,82278.0,65136.75,-19.43999999486465,-26365.750000245658
-0.0,1.5059403250150712e-06,147827.99999585154,41140.99999849406,10.56,10,-29.9,41141.0,41141.0,41140.99999849406,41140.99999849406,2023,82278.0,65136.75,-19.339999999999996,1.5059403250150712e-06
-0.0,1.0818126925595146e-06,147827.9999946883,42935.99999891819,10.56,11,-30.0,42936.0,42936.0,42935.99999891819,42935.99999891819,2023,82278.0,65136.75,-19.439999999999998,1.0818126925595146e-06
-0.0,8.880305008771017e-07,147827.99999373342,43909.99999911197,10.56,12,-29.9,43910.0,43910.0,43909.99999911197,43909.99999911197,2023,82278.0,65136.75,-19.339999999999996,8.880305008771017e-07
-0.0,19751.305122054608,126590.0374969005,23463.694877945392,10.56,13,136.41,43215.0,43215.0,23463.694877945392,23463.694877945392,2023,82278.0,65136.75,146.97,19751.305122054608
-22355.750000248194,0.0,147827.9999971363,65136.7500002482,10.560000005188385,14,168.3,42781.0,65136.7500002482,65136.7500002482,42781.0,2023,82278.0,65136.75,178.8600000051884,-22355.750000248194
-0.0,36956.99999852033,108089.29032130798,6462.000001479668,10.56,15,271.2,43419.0,43419.0,6462.000001479668,6462.000001479668,2023,82278.0,65136.75,281.76,36956.99999852033
