Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,dispatch_load,injection_load,year,capacity limit,capacity threshold,price,dispatch
-0.0,36956.99999935938,34175.29032326949,6089.000000640619,11.310442334991928,0,75.01,43046.0,43046.0,6089.000000640619,6089.000000640619,2023,82278.0,65136.75,86.32044233499194,36956.99999935938
-0.0,4287.0120001263285,29565.600000552997,36553.98799987367,15.06511744210907,1,26.81,40841.0,40841.0,36553.98799987367,36553.98799987367,2023,82278.0,65136.75,41.87511744210907,4287.0120001263285
-26795.281345007195,0.0,55021.11727830983,65854.2813450072,18.676249081385357,2,-29.92,39059.0,65854.2813450072,65854.2813450072,39059.0,2023,82278.0,65136.75,-11.243750918614644,-26795.281345007195
-27509.281341283357,0.0,81154.93455252901,65140.28134128336,18.58825173700659,3,-29.92,37631.0,65140.28134128336,65140.28134128336,37631.0,2023,82278.0,65136.75,-11.331748262993411,-27509.281341283357
-27358.142528414603,0.0,107145.16995452289,65129.1425284146,18.58687892755719,4,-29.9,37771.0,65129.1425284146,65129.1425284146,37771.0,2023,82278.0,65136.75,-11.313121072442808,-27358.142528414603
-0.0,36956.999998370266,67406.46027885594,386.00000162973447,10.607572793972766,5,0.84,37343.0,37343.0,386.00000162973447,386.00000162973447,2023,82278.0,65136.75,11.447572793972766,36956.999998370266
-0.0,35191.999999039144,29565.600064835355,9.60855686571449e-07,10.56000000011855,6,11.73,35192.0,35192.0,9.60855686571449e-07,9.60855686571449e-07,2023,82278.0,65136.75,22.29000000011855,35191.999999039144
-27160.669730112262,0.0,55368.236308442,62205.66973011226,18.226573827735844,7,-29.9,35045.0,62205.66973011226,62205.66973011226,35045.0,2023,82278.0,65136.75,-11.673426172264154,-27160.669730112262
-26864.363790812135,0.0,80889.38190971353,63313.36379081213,18.363092224398795,8,-30.0,36449.0,63313.36379081213,63313.36379081213,36449.0,2023,82278.0,65136.75,-11.636907775601205,-26864.363790812135
-0.0,4.940625713551844e-06,80889.38190440103,38770.99999505938,15.338354370701111,9,-30.0,38771.0,38771.0,38770.99999505938,38770.99999505938,2023,82278.0,65136.75,-14.661645629298889,4.940625713551844e-06
-24112.669729440047,0.0,103796.41814736907,65253.66972944005,18.602226354638436,10,-29.9,41141.0,65253.66972944005,65253.66972944005,41141.0,2023,82278.0,65136.75,-11.297773645361563,-24112.669729440047
-23620.863793886416,0.0,126236.23875156116,66556.86379388641,18.762839262598312,11,-30.0,42936.0,66556.86379388641,66556.86379388641,42936.0,2023,82278.0,65136.75,-11.237160737401688,-23620.863793886416
-22728.169735006908,0.0,147827.99999981772,66638.1697350069,18.77285986044636,12,-29.9,43910.0,66638.1697350069,66638.1697350069,43910.0,2023,82278.0,65136.75,-11.127140139553639,-22728.169735006908
-0.0,36070.03200066903,109043.01935393705,7144.967999330969,11.440585723155904,13,136.41,43215.0,43215.0,7144.967999330969,7144.967999330969,2023,82278.0,65136.75,147.8505857231559,36070.03200066903
-0.0,36956.99999918113,69304.3096773982,5824.000000818873,11.277782256388193,14,168.3,42781.0,42781.0,5824.000000818873,5824.000000818873,2023,82278.0,65136.75,179.57778225638822,36956.99999918113
-0.0,36956.99999980765,29565.600000185677,6462.000000192347,11.356412936172106,15,271.2,43419.0,43419.0,6462.000000192347,6462.000000192347,2023,82278.0,65136.75,282.5564129361721,36956.99999980765
